SMILES,HLM CLint,MLM CLint,row_id,split
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,56.4,182.3,0,train
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,160.4,1351.1,1,val
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,18.9,64.2,2,train
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,14.9,66.1,3,train
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,15.0,167.0,4,train
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,243.3,77.7,5,train
CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,7.4,342.0,6,train
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,14.2,82.8,7,train
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,18.9,336.0,8,train
CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,9.9,180.0,9,train
CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,15.6,250.1,10,train
O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,9.3,2044.5,11,train
CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,9.1,54.8,12,train
O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,54.4,658.3,13,train
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,173.4,96.7,14,train
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,15.8,675.8,15,train
NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,123.2,439.0,16,train
Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,10.7,517.0,17,train
Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,10.7,685.0,18,val
Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,46.2,399.0,19,val
CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,48.9,737.5,20,val
Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,12.6,297.7,21,train
Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,13.6,144.2,22,val
Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,17.6,266.8,23,train
CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,12.7,237.5,24,val
COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,90.7,1456.8,25,train
COc1ccc2oc3c(C)c4ccncc4cc3c2c1,112.1,273.4,26,val
Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,18.7,578.9,27,train
Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,65.7,867.9,28,val
Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,29.0,1364.9,29,val
Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,45.5,2336.6,30,train
Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,73.4,1405.5,31,val
CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,41.1,221.8,32,val
Cc1c2ccncc2cc2c3cc(C(=O)NCCO)ccc3n(C)c12,16.4,191.4,33,val
COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,40.0,1900.2,34,val
Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,11.7,1602.1,35,train
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,15.6,1050.6,36,train
Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,33.0,3579.0,37,train
CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,21.5,1959.7,38,val
