SMILES,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux
CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,4.16,1.92
COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,26.39,0.78
Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,20.21,1.39
COc1cccc(Nc2nc(-c3ccccc3)cs2)c1,2.02,1.15
COc1ccc(-c2csc(Nc3ccccn3)n2)cc1,12.29,0.48
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,14.28,0.41
Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,14.8,0.7
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,1.65,23.6
O=C(c1n[nH]c2ccccc12)N1CCC(Nc2ccc(Cl)cc2)CC1,25.96,0.9
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,24.23,1.0
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,20.19,0.72
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2cn1,29.83,0.84
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2nn1,34.24,0.93
CNc1cc2ccncc2cc1-n1cc(OCCN2CCCCC2)cn1,13.84,0.85
Cc1c2ccncc2cc2c3cc(OCCNC4CCOCC4)ccc3n(C)c12,0.82,0.66
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC4CCOCC4)ccc3n(C)c12,0.51,0.89
Nc1cc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,21.16,0.91
COC(=O)c1nn(-c2ccccc2)cc1N,2.3,0.83
COC(=O)c1nn(C(C)C)cc1N,31.75,0.86
O=C(c1nn(CCO)c2ccccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,31.5,0.73
CN(C)CCn1nc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)c2ccccc21,18.27,0.85
CN1CCN(c2cccc(Nc3nc(-c4ccc(F)cc4)cs3)c2)CC1,2.64,1.77
CN(C)CCCOc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,2.56,1.37
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccccc2Cl)CC1,18.23,1.02
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cccc(Cl)c2)CC1,9.8,0.84
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,6.91,0.63
O=C(c1n[nH]c2ccccc12)N1CC(NCc2ccc(Cl)cc2)C1,37.81,0.53
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccccc2Cl)CC1,32.64,0.54
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2cccc(Cl)c2)CC1,32.5,1.05
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(F)cc2)CC1,42.69,0.83
Cc1ccc2[nH]nc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)c2c1,4.4,0.9
O=C(c1n[nH]c2cc(F)ccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,4.43,1.22
COc1ccc2c(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)n[nH]c2c1,8.9,0.8
O=C(c1n[nH]c2ncccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,27.91,1.15
Cc1cc(-c2ccccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,1.25,1.16
Cc1cc(-c2ncccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,3.42,0.67
Cc1cc(-c2ccncn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,3.75,0.74
c1cncc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,38.51,0.74
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(C(N)=O)c3)n2)cc1,0.66,62.68
c1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,25.12,1.0
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncccn4)cc3)n2)CC1,36.13,0.99
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,1.68,32.61
CN(C)CCOc1ccc(-c2cc3nc(-c4ccccc4)cc(N)n3n2)cc1,8.0,0.53
Cn1cc(C(=O)N2CCN(c3ccc(CN4CCC4)cc3)CC2)c2cccnc21,11.97,2.11
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(F)C4)cc3)CC2)c2cccnc21,20.41,0.89
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C(F)(F)F)C4)cc3)CC2)c2cccnc21,30.59,0.98
Cc1c(N)c(-n2cc(OCCN3CCCCC3)cn2)cc2cnccc12,13.56,0.72
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,17.04,1.46
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,21.23,1.13
Fc1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,9.31,0.53
NC(=O)Cc1ccc(Nc2nccc(-c3cc(F)cc(N4CCOCC4)c3)n2)cc1,17.35,1.26
CN1CCN(c2cc(F)cc(-c3ccnc(Nc4ccc(CC(N)=O)cc4)n3)c2)CC1,11.77,2.41
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5ccccc5)cn4)cc3)n2)CC1,2.55,0.65
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5cccc(F)c5)cn4)cc3)n2)CC1,1.53,0.57
Cn1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,39.47,0.66
CN(c1ccc(Cl)cc1)C1CCN(C(=O)c2n[nH]c3ccccc23)CC1,10.84,0.77
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)c(F)c2)CC1,31.04,0.5
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)cc2F)CC1,33.07,0.68
CCCn1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,6.27,0.61
CC(C)n1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,9.54,0.82
O=C(c1noc2ccccc12)N1CCN(Cc2ccc(Cl)cc2)CC1,24.03,0.56
O=C(c1nsc2ccccc12)N1CCN(Cc2ccc(Cl)cc2)CC1,26.53,0.64
COc1ccc2[nH]c3c(=O)n(CC4CCC(=O)NC4)cnc3c2c1,2.4,9.61
