model_family,variant,task,cv_iter,fold,mae,rmse,r2,n_val
chemprop,multi,papp,0,0,6.5055,8.6319,0.3284,439
chemprop,multi,efflux,0,0,3.8981,8.9422,0.162378,439
chemprop,single_papp,papp,0,0,6.502,8.6969,0.318253,439
chemprop,single_efflux,efflux,0,0,3.7993,8.9794,0.155394,439
chemprop,multi,papp,0,1,6.4376,8.3269,0.357001,432
chemprop,multi,efflux,0,1,2.9333,6.0629,0.219198,432
chemprop,single_papp,papp,0,1,6.6545,8.5381,0.323957,432
chemprop,single_efflux,efflux,0,1,2.6464,6.1312,0.201504,432
chemprop,multi,papp,0,2,6.6853,8.4497,0.37747,429
chemprop,multi,efflux,0,2,3.0058,6.8799,0.212462,429
chemprop,single_papp,papp,0,2,6.8227,8.6663,0.345146,429
chemprop,single_efflux,efflux,0,2,2.9652,7.0247,0.178955,429
chemprop,multi,papp,0,3,5.7239,7.9456,0.405208,428
chemprop,multi,efflux,0,3,2.9385,7.7999,0.232573,428
chemprop,single_papp,papp,0,3,5.9146,8.0389,0.391151,428
chemprop,single_efflux,efflux,0,3,2.9787,8.1399,0.164226,428
chemprop,multi,papp,0,4,6.2227,8.3476,0.43012,428
chemprop,multi,efflux,0,4,4.0439,10.5984,0.308607,428
chemprop,single_papp,papp,0,4,6.6935,8.9432,0.345893,428
chemprop,single_efflux,efflux,0,4,4.7443,10.5222,0.318507,428
chemprop,multi,papp,1,0,6.6625,8.4243,0.302488,427
chemprop,multi,efflux,1,0,3.9538,8.4952,0.132118,427
chemprop,single_papp,papp,1,0,6.8986,8.8165,0.236028,427
chemprop,single_efflux,efflux,1,0,3.4478,8.4981,0.131536,427
chemprop,multi,papp,1,1,7.0271,9.0204,0.289898,426
chemprop,multi,efflux,1,1,2.5791,4.772,0.249384,426
chemprop,single_papp,papp,1,1,7.2222,9.1558,0.268422,426
chemprop,single_efflux,efflux,1,1,2.6791,4.9364,0.196765,426
chemprop,multi,papp,1,2,6.2625,8.1759,0.486597,451
chemprop,multi,efflux,1,2,2.5811,8.0439,0.071714,451
chemprop,single_papp,papp,1,2,6.2635,8.2161,0.481542,451
chemprop,single_efflux,efflux,1,2,3.0484,8.1509,0.046859,451
chemprop,multi,papp,1,3,6.3792,8.4687,0.354521,426
chemprop,multi,efflux,1,3,4.5607,10.8444,0.291694,426
chemprop,single_papp,papp,1,3,6.4525,8.5917,0.335643,426
chemprop,single_efflux,efflux,1,3,4.736,10.6247,0.320098,426
chemprop,multi,papp,1,4,6.3053,8.5124,0.281945,426
chemprop,multi,efflux,1,4,3.619,8.5172,0.232372,426
chemprop,single_papp,papp,1,4,6.6771,8.8781,0.218936,426
chemprop,single_efflux,efflux,1,4,3.6672,8.8013,0.180313,426
chemprop,multi,papp,2,0,6.4055,8.3245,0.465085,431
chemprop,multi,efflux,2,0,3.0236,6.7382,0.197982,431
chemprop,single_papp,papp,2,0,6.4089,8.4918,0.44337,431
chemprop,single_efflux,efflux,2,0,2.6946,6.6968,0.207792,431
chemprop,multi,papp,2,1,5.616,7.6227,0.417133,432
chemprop,multi,efflux,2,1,3.4085,8.9757,0.368349,432
chemprop,single_papp,papp,2,1,6.1034,8.0547,0.349182,432
chemprop,single_efflux,efflux,2,1,3.2289,8.9415,0.373152,432
chemprop,multi,papp,2,2,6.5894,8.5974,0.333385,430
chemprop,multi,efflux,2,2,3.8362,9.048,0.123398,430
chemprop,single_papp,papp,2,2,6.6036,8.6893,0.31905,430
chemprop,single_efflux,efflux,2,2,3.77,9.1642,0.100739,430
chemprop,multi,papp,2,3,6.3208,8.0232,0.371034,433
chemprop,multi,efflux,2,3,3.4996,8.9206,0.131918,433
chemprop,single_papp,papp,2,3,6.4263,8.3187,0.323845,433
chemprop,single_efflux,efflux,2,3,4.2751,9.3391,0.048566,433
chemprop,multi,papp,2,4,6.665,8.8903,0.325435,430
chemprop,multi,efflux,2,4,3.0828,7.3643,0.285336,430
chemprop,single_papp,papp,2,4,6.4527,8.6897,0.355535,430
chemprop,single_efflux,efflux,2,4,3.0549,7.6287,0.233101,430
chemprop,multi,papp,3,0,6.4607,8.5527,0.383217,444
chemprop,multi,efflux,3,0,4.0942,10.1552,0.29201,444
chemprop,single_papp,papp,3,0,6.2819,8.1676,0.437516,444
chemprop,single_efflux,efflux,3,0,3.6631,10.2652,0.276592,444
chemprop,multi,papp,3,1,6.6059,8.4827,0.384256,428
chemprop,multi,efflux,3,1,3.9106,8.3496,0.129224,428
chemprop,single_papp,papp,3,1,7.1439,9.2179,0.272905,428
chemprop,single_efflux,efflux,3,1,4.2603,8.5035,0.096835,428
chemprop,multi,papp,3,2,6.2551,8.6075,0.35208,428
chemprop,multi,efflux,3,2,3.5039,8.117,0.217957,428
chemprop,single_papp,papp,3,2,6.3738,8.647,0.346126,428
