model_family,variant,task,cv_iter,fold,mae,rmse,r2
rf,single_HLM CLint,HLM CLint,0,0,41.891,129.517,0.2326
rf,single_MLM CLint,MLM CLint,0,0,487.27,1015.367,0.3161
rf,multi,HLM CLint,0,0,40.225,128.72,0.242
rf,multi,MLM CLint,0,0,485.57,1019.125,0.3111
rf,single_HLM CLint,HLM CLint,0,1,52.663,132.822,-0.4564
rf,single_MLM CLint,MLM CLint,0,1,487.792,814.997,0.2655
rf,multi,HLM CLint,0,1,46.461,101.994,0.1412
rf,multi,MLM CLint,0,1,486.54,813.641,0.2679
rf,single_HLM CLint,HLM CLint,0,2,35.705,79.789,0.2718
rf,single_MLM CLint,MLM CLint,0,2,434.543,809.552,0.1805
rf,multi,HLM CLint,0,2,35.861,88.38,0.1065
rf,multi,MLM CLint,0,2,433.503,809.775,0.18
rf,single_HLM CLint,HLM CLint,0,3,45.604,114.676,0.3222
rf,single_MLM CLint,MLM CLint,0,3,489.324,997.932,0.239
rf,multi,HLM CLint,0,3,44.564,118.04,0.2819
rf,multi,MLM CLint,0,3,488.628,993.839,0.2452
rf,single_HLM CLint,HLM CLint,0,4,46.354,113.272,0.2447
rf,single_MLM CLint,MLM CLint,0,4,447.293,807.765,0.2288
rf,multi,HLM CLint,0,4,45.147,115.287,0.2176
rf,multi,MLM CLint,0,4,448.01,809.878,0.2248
rf,single_HLM CLint,HLM CLint,1,0,42.447,99.471,0.121
rf,single_MLM CLint,MLM CLint,1,0,488.923,821.508,0.2538
rf,multi,HLM CLint,1,0,41.505,95.165,0.1954
rf,multi,MLM CLint,1,0,489.289,821.586,0.2536
rf,single_HLM CLint,HLM CLint,1,1,47.823,120.774,-0.0169
rf,single_MLM CLint,MLM CLint,1,1,435.673,843.769,0.2981
rf,multi,HLM CLint,1,1,39.651,90.144,0.4335
rf,multi,MLM CLint,1,1,436.342,845.22,0.2957
rf,single_HLM CLint,HLM CLint,1,2,46.437,128.689,0.1846
rf,single_MLM CLint,MLM CLint,1,2,508.234,978.607,0.343
rf,multi,HLM CLint,1,2,43.035,126.241,0.2153
rf,multi,MLM CLint,1,2,508.373,976.097,0.3464
rf,single_HLM CLint,HLM CLint,1,3,46.774,117.479,0.2832
rf,single_MLM CLint,MLM CLint,1,3,467.855,913.624,0.3301
rf,multi,HLM CLint,1,3,44.579,113.891,0.3263
rf,multi,MLM CLint,1,3,464.465,911.87,0.3327
rf,single_HLM CLint,HLM CLint,1,4,36.814,98.173,0.3119
rf,single_MLM CLint,MLM CLint,1,4,410.514,781.24,0.1661
rf,multi,HLM CLint,1,4,37.968,102.781,0.2458
rf,multi,MLM CLint,1,4,409.735,776.517,0.1761
rf,single_HLM CLint,HLM CLint,2,0,40.461,110.283,0.2561
