cv_iter,fold,seed,model,task,mae,rmse,r2
0,0,0,single,papp,5.474,7.15,0.4689
0,0,0,single,efflux,2.997,8.619,0.0756
0,0,0,multi,papp,5.363,6.998,0.4912
0,0,0,multi,efflux,2.84,8.175,0.1684
0,0,1,single,papp,5.434,7.107,0.4753
0,0,1,single,efflux,2.968,8.625,0.0743
0,0,1,multi,papp,5.371,6.982,0.4935
0,0,1,multi,efflux,2.829,8.231,0.1568
0,0,2,single,papp,5.455,7.122,0.473
0,0,2,single,efflux,2.95,8.602,0.0792
0,0,2,multi,papp,5.37,6.979,0.4939
0,0,2,multi,efflux,2.806,8.166,0.1701
0,0,3,single,papp,5.433,7.115,0.4741
0,0,3,single,efflux,2.988,8.594,0.0808
0,0,3,multi,papp,5.393,7.002,0.4907
0,0,3,multi,efflux,2.83,8.208,0.1616
0,0,4,single,papp,5.469,7.142,0.47
0,0,4,single,efflux,2.971,8.556,0.0891
0,0,4,multi,papp,5.408,7.036,0.4857
0,0,4,multi,efflux,2.835,8.151,0.1732
0,1,0,single,papp,6.484,8.922,0.3051
0,1,0,single,efflux,3.109,7.81,-0.02
0,1,0,multi,papp,6.573,8.998,0.2931
0,1,0,multi,efflux,2.916,7.422,0.0787
0,1,1,single,papp,6.503,8.957,0.2996
0,1,1,single,efflux,3.047,7.726,0.0019
0,1,1,multi,papp,6.553,8.982,0.2956
0,1,1,multi,efflux,2.896,7.424,0.0784
0,1,2,single,papp,6.482,8.954,0.3
0,1,2,single,efflux,3.073,7.76,-0.0071
0,1,2,multi,papp,6.535,8.962,0.2988
0,1,2,multi,efflux,2.93,7.446,0.0728
0,1,3,single,papp,6.511,8.964,0.2985
0,1,3,single,efflux,3.084,7.812,-0.0205
0,1,3,multi,papp,6.542,8.979,0.2961
0,1,3,multi,efflux,2.908,7.44,0.0742
0,1,4,single,papp,6.5,8.976,0.2966
0,1,4,single,efflux,3.08,7.766,-0.0085
0,1,4,multi,papp,6.512,8.949,0.3009
0,1,4,multi,efflux,2.892,7.413,0.081
0,2,0,single,papp,6.71,9.25,0.3355
0,2,0,single,efflux,3.579,9.83,0.3483
0,2,0,multi,papp,6.532,9.066,0.3617
0,2,0,multi,efflux,3.608,9.931,0.3349
0,2,1,single,papp,6.676,9.209,0.3414
0,2,1,single,efflux,3.617,9.861,0.3442
0,2,1,multi,papp,6.519,9.042,0.365
0,2,1,multi,efflux,3.6,9.926,0.3355
0,2,2,single,papp,6.697,9.236,0.3375
0,2,2,single,efflux,3.581,9.868,0.3433
0,2,2,multi,papp,6.538,9.062,0.3622
0,2,2,multi,efflux,3.586,9.905,0.3383
0,2,3,single,papp,6.724,9.276,0.3318
0,2,3,single,efflux,3.582,9.811,0.3509
0,2,3,multi,papp,6.518,9.025,0.3674
0,2,3,multi,efflux,3.601,9.902,0.3387
0,2,4,single,papp,6.672,9.197,0.3431
0,2,4,single,efflux,3.584,9.805,0.3517
0,2,4,multi,papp,6.514,9.057,0.3629
0,2,4,multi,efflux,3.602,9.931,0.3349
0,3,0,single,papp,6.675,8.655,0.3173
0,3,0,single,efflux,2.715,7.026,0.3179
0,3,0,multi,papp,6.544,8.498,0.3418
0,3,0,multi,efflux,2.734,7.105,0.3024
0,3,1,single,papp,6.69,8.681,0.3132
0,3,1,single,efflux,2.707,7.044,0.3144
0,3,1,multi,papp,6.547,8.497,0.342
0,3,1,multi,efflux,2.724,7.151,0.2933
0,3,2,single,papp,6.642,8.615,0.3235
0,3,2,single,efflux,2.731,7.113,0.3008
0,3,2,multi,papp,6.546,8.506,0.3406
0,3,2,multi,efflux,2.748,7.143,0.295
0,3,3,single,papp,6.634,8.598,0.3262
