target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Butina,ChemProp_MT,0,0,0.4377427238663893,0.33952760371838586,0.4301153457752933,0.4870390836342258,4.1488605305306104e-88,HLM_ChemProp_MT_Butina
MLM,748,Butina,ChemProp_MT,0,0,0.46040882206348765,0.36769427769734525,0.5047065359173784,0.4999221429667502,4.9905659348790995e-93,MLM_ChemProp_MT_Butina
HLM,749,Butina,ChemProp_MT,0,1,0.49131365898307716,0.3629535626526481,0.4016855946013347,0.482543816441844,1.0122807955793956e-86,HLM_ChemProp_MT_Butina
MLM,749,Butina,ChemProp_MT,0,1,0.5238278559041463,0.3975497824179008,0.47327813577950406,0.48204703772353497,9.689721133752467e-87,MLM_ChemProp_MT_Butina
HLM,747,Butina,ChemProp_MT,0,2,0.5034462667852772,0.38195801932628454,0.3880011632281608,0.4663904966506232,1.1273198029158374e-80,HLM_ChemProp_MT_Butina
MLM,747,Butina,ChemProp_MT,0,2,0.5123488949519112,0.3924427658367085,0.5761586267337454,0.5559349944817128,2.6559681176705593e-114,MLM_ChemProp_MT_Butina
HLM,749,Butina,ChemProp_MT,0,3,0.47817942241697037,0.35841632512076665,0.40512501224981623,0.4766941600236075,1.2991557435172499e-84,HLM_ChemProp_MT_Butina
MLM,749,Butina,ChemProp_MT,0,3,0.5455680121407929,0.4129679949743615,0.4312381402115121,0.4383327461696129,4.934884618517017e-72,MLM_ChemProp_MT_Butina
HLM,747,Butina,ChemProp_MT,0,4,0.472360141037076,0.36558768711289985,0.45954043701963476,0.5162098275536712,1.1355117015943563e-98,HLM_ChemProp_MT_Butina
MLM,747,Butina,ChemProp_MT,0,4,0.48743872462540727,0.371200288002471,0.5237726180786229,0.49709135207715643,7.447437202582213e-92,MLM_ChemProp_MT_Butina
HLM,747,Butina,ChemProp_MT,1,0,0.4614784401811272,0.35054060177072294,0.49243075468314357,0.5224838580925141,7.341381498083211e-101,HLM_ChemProp_MT_Butina
MLM,747,Butina,ChemProp_MT,1,0,0.49451916733391105,0.37836348223715943,0.6020335560803306,0.5420035369166702,8.386266062390988e-109,MLM_ChemProp_MT_Butina
HLM,751,Butina,ChemProp_MT,1,1,0.4946618770291311,0.36569415227883373,0.3807728012213728,0.4833455007167655,4.167742433206831e-87,HLM_ChemProp_MT_Butina
MLM,751,Butina,ChemProp_MT,1,1,0.47860592246696654,0.37104136077744837,0.49639032179367226,0.508174049213233,1.9449695170586724e-96,MLM_ChemProp_MT_Butina
HLM,747,Butina,ChemProp_MT,1,2,0.44287586217657066,0.3431103391707392,0.45393436861199565,0.5110667122885465,1.0137719792865676e-96,HLM_ChemProp_MT_Butina
MLM,747,Butina,ChemProp_MT,1,2,0.49517257831503947,0.3829081014112282,0.5331908685287761,0.5135690101284125,6.915014636944487e-98,MLM_ChemProp_MT_Butina
HLM,746,Butina,ChemProp_MT,1,3,0.4741280220967444,0.36597538135680785,0.4201398614775782,0.4815941795938117,4.769192379397401e-86,HLM_ChemProp_MT_Butina
MLM,746,Butina,ChemProp_MT,1,3,0.507702508868792,0.39545518924307677,0.5256847047540263,0.48138830819618494,3.698195347754062e-86,MLM_ChemProp_MT_Butina
HLM,749,Butina,ChemProp_MT,1,4,0.4806903903683403,0.36513792940937506,0.42279687436477265,0.48292932584040144,8.14788297482437e-87,HLM_ChemProp_MT_Butina
MLM,749,Butina,ChemProp_MT,1,4,0.5198418605267194,0.3894617153134303,0.41002845406168253,0.45516778609827596,1.5071528153332759e-77,MLM_ChemProp_MT_Butina
HLM,748,Butina,ChemProp_MT,2,0,0.467744651266634,0.3568080154222659,0.41601894963242103,0.4839065626901238,4.763508291854814e-87,HLM_ChemProp_MT_Butina
MLM,748,Butina,ChemProp_MT,2,0,0.49623957943634694,0.3821469508350763,0.4711686717654371,0.476347647264901,1.2293971523146854e-84,MLM_ChemProp_MT_Butina
HLM,748,Butina,ChemProp_MT,2,1,0.48601035451880614,0.3696766016743309,0.42575088095295277,0.49333782174142315,2.171907041046589e-90,HLM_ChemProp_MT_Butina
MLM,748,Butina,ChemProp_MT,2,1,0.47470006261677944,0.37598228630329333,0.443610530659994,0.46487361237284974,1.056659288295133e-80,MLM_ChemProp_MT_Butina
HLM,749,Butina,ChemProp_MT,2,2,0.48137044981239346,0.36817790342599127,0.411651087883919,0.4902830603350457,2.0803114761380757e-89,HLM_ChemProp_MT_Butina
MLM,749,Butina,ChemProp_MT,2,2,0.4756966998713822,0.36824486329934847,0.501229130556196,0.4466553308047126,9.894472864640588e-75,MLM_ChemProp_MT_Butina
HLM,748,Butina,ChemProp_MT,2,3,0.47679597430820075,0.3607205768845819,0.434599338978057,0.513063277145817,2.3673687397578894e-97,HLM_ChemProp_MT_Butina
MLM,748,Butina,ChemProp_MT,2,3,0.5022382814794759,0.37949823646177605,0.6446479102372881,0.6131335510999077,8.317911791802151e-139,MLM_ChemProp_MT_Butina
HLM,747,Butina,ChemProp_MT,2,4,0.4902023573735383,0.3682601744890498,0.36435677455259285,0.4493662774963569,3.121840491694499e-75,HLM_ChemProp_MT_Butina
MLM,747,Butina,ChemProp_MT,2,4,0.5692567844555271,0.4150808514429615,0.4142761535802938,0.44870406356424714,3.430692220345791e-75,MLM_ChemProp_MT_Butina
HLM,742,Butina,ChemProp_MT,3,0,0.5056191005656789,0.3745478917555787,0.27085161512455647,0.423979238798911,1.1595077283512888e-66,HLM_ChemProp_MT_Butina
MLM,742,Butina,ChemProp_MT,3,0,0.5677546005540456,0.4326059386896018,0.43955621996133754,0.4545021523261321,1.424440107921671e-76,MLM_ChemProp_MT_Butina
HLM,741,Butina,ChemProp_MT,3,1,0.46140761027129107,0.356130662096061,0.4698196726655606,0.5103788835872471,9.799016204495767e-96,HLM_ChemProp_MT_Butina
MLM,741,Butina,ChemProp_MT,3,1,0.48063074543393036,0.3695569271686908,0.431606022057076,0.46380110403741764,1.3258367234017723e-79,MLM_ChemProp_MT_Butina
HLM,772,Butina,ChemProp_MT,3,2,0.4681376462570931,0.3558894703186054,0.4960806430573469,0.5308951702176941,1.631693955156359e-107,HLM_ChemProp_MT_Butina
MLM,772,Butina,ChemProp_MT,3,2,0.5173102401004938,0.3953269518686118,0.629555368358033,0.5810043071791883,8.556495066282412e-129,MLM_ChemProp_MT_Butina
HLM,741,Butina,ChemProp_MT,3,3,0.5084645598995233,0.38314957462043026,0.3936954767597103,0.4647125283000262,1.0911612616583095e-79,HLM_ChemProp_MT_Butina
MLM,741,Butina,ChemProp_MT,3,3,0.49343106637003,0.374711497673072,0.4840407603491581,0.47434459939109636,3.6784304042467806e-83,MLM_ChemProp_MT_Butina
HLM,744,Butina,ChemProp_MT,3,4,0.4496404672957258,0.35549374941261247,0.421441440345662,0.46556963218763836,2.738400507709395e-80,HLM_ChemProp_MT_Butina
MLM,744,Butina,ChemProp_MT,3,4,0.45441817203520907,0.35292720370513264,0.4898331109253323,0.47743583623371216,1.4154818096064561e-84,MLM_ChemProp_MT_Butina
HLM,746,Butina,ChemProp_MT,4,0,0.5082956691071155,0.3819156855192008,0.3823974986720463,0.4778293442927217,1.0917156062567703e-84,HLM_ChemProp_MT_Butina
MLM,746,Butina,ChemProp_MT,4,0,0.5231939694881659,0.40314716427678354,0.5174180817406608,0.4874300254498835,2.798279592140072e-88,MLM_ChemProp_MT_Butina
HLM,750,Butina,ChemProp_MT,4,1,0.4886954180571415,0.38206682667024083,0.3569660786973369,0.42986764538568684,3.2392544598583993e-69,HLM_ChemProp_MT_Butina
MLM,750,Butina,ChemProp_MT,4,1,0.4684687841748999,0.35172329627848997,0.5479958955718772,0.486152802240981,2.7955557872130534e-88,MLM_ChemProp_MT_Butina
HLM,746,Butina,ChemProp_MT,4,2,0.464763792486057,0.3489722051162534,0.4062027466600274,0.49455493907680537,1.4365245895213298e-90,HLM_ChemProp_MT_Butina
MLM,746,Butina,ChemProp_MT,4,2,0.49927788215281843,0.3852583624621169,0.5553270967219797,0.5357798690621003,2.9982581713630865e-106,MLM_ChemProp_MT_Butina
HLM,751,Butina,ChemProp_MT,4,3,0.4583158131857473,0.3470991222347857,0.4949335506915634,0.5283308195165036,1.2067741616286324e-103,HLM_ChemProp_MT_Butina
MLM,751,Butina,ChemProp_MT,4,3,0.47095533128719974,0.3688717040114664,0.5124774606398379,0.5165670884636359,1.373929055123677e-99,MLM_ChemProp_MT_Butina
HLM,747,Butina,ChemProp_MT,4,4,0.4873489162234435,0.3695438982515415,0.403635998197274,0.4883203140220546,1.620870320052839e-88,HLM_ChemProp_MT_Butina
MLM,747,Butina,ChemProp_MT,4,4,0.5440574125045191,0.40272196118133846,0.46089132932037924,0.48662378012573065,4.1230125562586854e-88,MLM_ChemProp_MT_Butina
