target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Butina,ChemProp_MT_FM,0,0,0.43552170434416254,0.3248626625499605,0.43588363776646366,0.50011554207179,8.453129836659307e-93,HLM_ChemProp_MT_FM_Butina
MLM,748,Butina,ChemProp_MT_FM,0,0,0.4217507023596874,0.3188960498329919,0.5843890774121108,0.5755192000666465,1.174699643282008e-122,MLM_ChemProp_MT_FM_Butina
HLM,749,Butina,ChemProp_MT_FM,0,1,0.44165307479809407,0.3254591689246519,0.5165246907986474,0.5666643371578668,7.38878654900876e-119,HLM_ChemProp_MT_FM_Butina
MLM,749,Butina,ChemProp_MT_FM,0,1,0.4737665238133898,0.3530481102511094,0.5691432430996912,0.561406393916922,5.824921744759373e-117,MLM_ChemProp_MT_FM_Butina
HLM,747,Butina,ChemProp_MT_FM,0,2,0.4477661704598498,0.33826480179039536,0.5158868220559356,0.5551844740633907,1.627301143596874e-113,HLM_ChemProp_MT_FM_Butina
MLM,747,Butina,ChemProp_MT_FM,0,2,0.4684999833879694,0.34569853316984767,0.6456022956379145,0.6066612972755245,9.819696331834271e-136,MLM_ChemProp_MT_FM_Butina
HLM,749,Butina,ChemProp_MT_FM,0,3,0.4419372861439605,0.3321370557118018,0.4918812377387778,0.5359318368117544,1.9300584673906428e-106,HLM_ChemProp_MT_FM_Butina
MLM,749,Butina,ChemProp_MT_FM,0,3,0.4923454482015425,0.38268109639223585,0.5367957638769212,0.5050390483660817,5.257312513824365e-95,MLM_ChemProp_MT_FM_Butina
HLM,747,Butina,ChemProp_MT_FM,0,4,0.4291257070155111,0.3245900377187022,0.5539477006506988,0.5846663961067085,5.053402640257364e-126,HLM_ChemProp_MT_FM_Butina
MLM,747,Butina,ChemProp_MT_FM,0,4,0.4491811491267214,0.3325842261485596,0.5955942250003374,0.5600354835067658,4.571953036108386e-116,MLM_ChemProp_MT_FM_Butina
HLM,747,Butina,ChemProp_MT_FM,1,0,0.4257917118965147,0.32179069019862444,0.5678974049775118,0.5767020143428441,1.882108677476433e-122,HLM_ChemProp_MT_FM_Butina
MLM,747,Butina,ChemProp_MT_FM,1,0,0.45940259469420247,0.3406662576939695,0.6565471826337523,0.5888252265009589,4.660567622049938e-128,MLM_ChemProp_MT_FM_Butina
HLM,751,Butina,ChemProp_MT_FM,1,1,0.46093090296750244,0.34072036277414136,0.46234363173651005,0.5153970327828759,8.860782726984954e-99,HLM_ChemProp_MT_FM_Butina
MLM,751,Butina,ChemProp_MT_FM,1,1,0.4563677569754502,0.34445785919713157,0.5421029586698145,0.5422303542066982,1.580783436795589e-109,MLM_ChemProp_MT_FM_Butina
HLM,747,Butina,ChemProp_MT_FM,1,2,0.4304312089228425,0.32366477918412784,0.48419169839881093,0.5368206438523401,1.632012151497947e-106,HLM_ChemProp_MT_FM_Butina
MLM,747,Butina,ChemProp_MT_FM,1,2,0.4429550686570084,0.34048264301816716,0.6264527689630912,0.5793161837404894,5.076500694087393e-124,MLM_ChemProp_MT_FM_Butina
HLM,746,Butina,ChemProp_MT_FM,1,3,0.43677603824095934,0.33778627114596055,0.5079042473606408,0.5402116312131339,9.006397315620421e-108,HLM_ChemProp_MT_FM_Butina
MLM,746,Butina,ChemProp_MT_FM,1,3,0.45874645382608925,0.35127138879870107,0.6127477491137183,0.5534981989157067,2.780747425684804e-113,MLM_ChemProp_MT_FM_Butina
HLM,749,Butina,ChemProp_MT_FM,1,4,0.432797746428558,0.3232970804730499,0.5320841296261284,0.5512920535966624,1.5061530284500227e-112,HLM_ChemProp_MT_FM_Butina
MLM,749,Butina,ChemProp_MT_FM,1,4,0.46981973450373227,0.3439244374938449,0.5181064872889358,0.5451053277068705,2.172248430800961e-110,MLM_ChemProp_MT_FM_Butina
HLM,748,Butina,ChemProp_MT_FM,2,0,0.412264733553124,0.3067927380452645,0.5463368898285454,0.565640269607293,3.152702955135273e-118,HLM_ChemProp_MT_FM_Butina
MLM,748,Butina,ChemProp_MT_FM,2,0,0.45819847741525416,0.34308446062867076,0.5491400502570049,0.5522456747045399,4.3057879910424406e-113,MLM_ChemProp_MT_FM_Butina
HLM,748,Butina,ChemProp_MT_FM,2,1,0.4515505912317465,0.33098424002042803,0.5042963417296628,0.5482463463965473,3.5587475930284254e-111,HLM_ChemProp_MT_FM_Butina
MLM,748,Butina,ChemProp_MT_FM,2,1,0.42532098789025996,0.33351074265087827,0.5533431986613788,0.5529978844199357,2.1165762806575418e-113,MLM_ChemProp_MT_FM_Butina
HLM,749,Butina,ChemProp_MT_FM,2,2,0.4480655700439813,0.3445966683657465,0.49024763576794905,0.5255528049156282,1.9006961123629577e-102,HLM_ChemProp_MT_FM_Butina
MLM,749,Butina,ChemProp_MT_FM,2,2,0.43671437496562165,0.32896779706439705,0.5796260664149127,0.5186206130827467,4.330112070405701e-100,MLM_ChemProp_MT_FM_Butina
HLM,748,Butina,ChemProp_MT_FM,2,3,0.4423736017640333,0.3375346448602433,0.513290797278867,0.5572751598144522,1.6708588934624607e-114,HLM_ChemProp_MT_FM_Butina
MLM,748,Butina,ChemProp_MT_FM,2,3,0.48348180626648757,0.3654892095260246,0.6706940930011164,0.6416074117524279,8.319494410733614e-152,MLM_ChemProp_MT_FM_Butina
HLM,747,Butina,ChemProp_MT_FM,2,4,0.4393463081345935,0.32971193658686454,0.4894049566447204,0.5339681782642894,1.933327787552705e-105,HLM_ChemProp_MT_FM_Butina
MLM,747,Butina,ChemProp_MT_FM,2,4,0.4940491394798595,0.36542460085557593,0.5588190317186843,0.5463634578022465,1.467523567371189e-110,MLM_ChemProp_MT_FM_Butina
HLM,742,Butina,ChemProp_MT_FM,3,0,0.43497421701047667,0.31210268334936575,0.46037010066130224,0.5330487126656942,2.8418357780252215e-104,HLM_ChemProp_MT_FM_Butina
MLM,742,Butina,ChemProp_MT_FM,3,0,0.522035460039333,0.39326710569418094,0.5261828918519683,0.5219584567578903,2.2151821475031164e-100,MLM_ChemProp_MT_FM_Butina
HLM,741,Butina,ChemProp_MT_FM,3,1,0.4528874735028482,0.33835766832014236,0.489219017061021,0.525698468756436,1.885849304374168e-101,HLM_ChemProp_MT_FM_Butina
MLM,741,Butina,ChemProp_MT_FM,3,1,0.41910406163282604,0.3227172597455732,0.5678145816640205,0.5432752645285406,1.6518219563593079e-108,MLM_ChemProp_MT_FM_Butina
HLM,772,Butina,ChemProp_MT_FM,3,2,0.42651753523294494,0.32808096904043477,0.5817001697307096,0.5804073481774844,4.0588012197003823e-128,HLM_ChemProp_MT_FM_Butina
MLM,772,Butina,ChemProp_MT_FM,3,2,0.46358702231036,0.34434534976202863,0.7025022438283479,0.6452730437017903,2.1523245017281973e-158,MLM_ChemProp_MT_FM_Butina
HLM,741,Butina,ChemProp_MT_FM,3,3,0.4531360030383299,0.3277771923495989,0.5184664273911394,0.5467011450774051,1.4973526961454494e-109,HLM_ChemProp_MT_FM_Butina
MLM,741,Butina,ChemProp_MT_FM,3,3,0.45494553886817896,0.340020500950579,0.5613872648517888,0.5383330247542445,1.4752076682236167e-106,MLM_ChemProp_MT_FM_Butina
HLM,744,Butina,ChemProp_MT_FM,3,4,0.41747786310726964,0.3248851070843784,0.5012493830072309,0.5245698326163332,2.0606290022051946e-101,HLM_ChemProp_MT_FM_Butina
MLM,744,Butina,ChemProp_MT_FM,3,4,0.44822704890092757,0.3360741340867561,0.5036397323486121,0.5267812087114532,1.5212303968491346e-102,MLM_ChemProp_MT_FM_Butina
HLM,746,Butina,ChemProp_MT_FM,4,0,0.43752489486700474,0.32810441466249646,0.5424044780328554,0.5703557156269848,7.699100120561934e-120,HLM_ChemProp_MT_FM_Butina
MLM,746,Butina,ChemProp_MT_FM,4,0,0.4674413463641235,0.34797974399176623,0.6147879759668414,0.580124192418126,3.072567180642348e-124,MLM_ChemProp_MT_FM_Butina
HLM,750,Butina,ChemProp_MT_FM,4,1,0.4406275533544292,0.32967610765575256,0.4772420441180407,0.515766262877802,8.242196476011917e-99,HLM_ChemProp_MT_FM_Butina
MLM,750,Butina,ChemProp_MT_FM,4,1,0.44843389097438036,0.3353518527670032,0.5858306861933472,0.5321861413499615,2.084482714813313e-105,MLM_ChemProp_MT_FM_Butina
HLM,746,Butina,ChemProp_MT_FM,4,2,0.4289830488811845,0.3246652136736444,0.494112587241182,0.5441337130535571,3.1288797293047772e-109,HLM_ChemProp_MT_FM_Butina
MLM,746,Butina,ChemProp_MT_FM,4,2,0.4597583357579656,0.3474973256369024,0.6229358567519087,0.5735682869828496,1.7685182457602573e-121,MLM_ChemProp_MT_FM_Butina
HLM,751,Butina,ChemProp_MT_FM,4,3,0.42766397608000856,0.32449407574177963,0.5602314425275268,0.569653101194656,3.576349294067179e-120,HLM_ChemProp_MT_FM_Butina
MLM,751,Butina,ChemProp_MT_FM,4,3,0.44080680135109307,0.3312447546076618,0.5728977715164137,0.5633217651307991,4.614749442516443e-118,MLM_ChemProp_MT_FM_Butina
HLM,747,Butina,ChemProp_MT_FM,4,4,0.4212257328897499,0.3180928490580857,0.5544861597371782,0.5686654028189418,2.3803112355455398e-119,HLM_ChemProp_MT_FM_Butina
MLM,747,Butina,ChemProp_MT_FM,4,4,0.4698513790834053,0.34691911161481936,0.5979242643745464,0.5777598418683689,2.076782349581377e-123,MLM_ChemProp_MT_FM_Butina
