target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
MLM,748,Butina,ChemProp_ST,0,0,0.453003482388176,0.35571186513701414,0.520511268982814,0.5182504378976843,7.866902667397301e-100,MLM_ChemProp_ST_Butina
MLM,749,Butina,ChemProp_ST,0,1,0.5086839739205568,0.3791651173260905,0.5032930025622668,0.5116015073370341,1.8469385101021719e-97,MLM_ChemProp_ST_Butina
MLM,747,Butina,ChemProp_ST,0,2,0.4905994452205289,0.37380344247863445,0.6113793749729513,0.5779149557602549,2.3248165915213814e-123,MLM_ChemProp_ST_Butina
MLM,749,Butina,ChemProp_ST,0,3,0.5417407008121419,0.4098525421260749,0.4391901943335027,0.4356190758094096,3.625958699917173e-71,MLM_ChemProp_ST_Butina
MLM,747,Butina,ChemProp_ST,0,4,0.4869473342817278,0.36805527089309514,0.5247323103218707,0.5022176335691995,1.0174870458937662e-93,MLM_ChemProp_ST_Butina
MLM,747,Butina,ChemProp_ST,1,0,0.4816942710305632,0.3642493966224489,0.622407675145713,0.552820498598035,4.130177599774584e-113,MLM_ChemProp_ST_Butina
MLM,751,Butina,ChemProp_ST,1,1,0.4795895984402676,0.3759645326604115,0.49431806233387243,0.4991042053182057,4.29074428934559e-93,MLM_ChemProp_ST_Butina
MLM,747,Butina,ChemProp_ST,1,2,0.49387144437479186,0.38070746189706517,0.5356408556338066,0.5078890173010695,8.924976408524567e-96,MLM_ChemProp_ST_Butina
MLM,746,Butina,ChemProp_ST,1,3,0.499720282886923,0.3910432448866256,0.5404820668526,0.4856885328457381,1.1368413610375054e-87,MLM_ChemProp_ST_Butina
MLM,749,Butina,ChemProp_ST,1,4,0.5177634252341013,0.38239606507372614,0.4147366795420374,0.46207232743961535,7.331530205654593e-80,MLM_ChemProp_ST_Butina
MLM,748,Butina,ChemProp_ST,2,0,0.49159096235860916,0.37577429018085895,0.48103011769470283,0.4764264019391615,1.1543354175148204e-84,MLM_ChemProp_ST_Butina
MLM,748,Butina,ChemProp_ST,2,1,0.45805883062513025,0.3606765293745409,0.48193668084354324,0.4888287520486601,4.933945352567746e-89,MLM_ChemProp_ST_Butina
MLM,749,Butina,ChemProp_ST,2,2,0.4698980377036368,0.36336260806189163,0.5133148819807596,0.45529573480912033,1.410661894080447e-77,MLM_ChemProp_ST_Butina
MLM,748,Butina,ChemProp_ST,2,3,0.5112920137129846,0.3849511807895594,0.6317207351870703,0.6045519951095383,5.279872428912785e-135,MLM_ChemProp_ST_Butina
MLM,747,Butina,ChemProp_ST,2,4,0.5529091672208206,0.40763929703625934,0.44743413035755286,0.4632144029080934,5.214561424572219e-80,MLM_ChemProp_ST_Butina
MLM,742,Butina,ChemProp_ST,3,0,0.5720034370043233,0.42972302525096845,0.4311365821989923,0.46208573974835054,4.368310176205205e-79,MLM_ChemProp_ST_Butina
MLM,741,Butina,ChemProp_ST,3,1,0.4781598344887491,0.3659138806988596,0.43743519878228565,0.4664784509164559,1.669716837815935e-80,MLM_ChemProp_ST_Butina
MLM,772,Butina,ChemProp_ST,3,2,0.5089407711826193,0.3878503703437283,0.6414451164639987,0.5868817661852315,2.2588485525640253e-131,MLM_ChemProp_ST_Butina
MLM,741,Butina,ChemProp_ST,3,3,0.48810355389015214,0.36978977604672475,0.49512210631400444,0.47976551376169957,4.985095640605501e-85,MLM_ChemProp_ST_Butina
MLM,744,Butina,ChemProp_ST,3,4,0.4530258806454001,0.3544510261008033,0.49295452140340024,0.47923047655846357,3.3744027468922917e-85,MLM_ChemProp_ST_Butina
MLM,746,Butina,ChemProp_ST,4,0,0.5008867831471847,0.3812183974274527,0.5576920650040402,0.5120498849542197,3.180736703044724e-97,MLM_ChemProp_ST_Butina
MLM,750,Butina,ChemProp_ST,4,1,0.46819154941166286,0.35843028388989373,0.5485307195609377,0.4830188599219416,3.6013530237927114e-87,MLM_ChemProp_ST_Butina
MLM,746,Butina,ChemProp_ST,4,2,0.4965073418491679,0.381563259095449,0.5602484683501816,0.530229312724341,4.234203027220251e-104,MLM_ChemProp_ST_Butina
MLM,751,Butina,ChemProp_ST,4,3,0.4778769557677757,0.37461274346413104,0.4980419300212152,0.4999804708401589,2.038033584300701e-93,MLM_ChemProp_ST_Butina
MLM,747,Butina,ChemProp_ST,4,4,0.5229271971435588,0.38576815208672866,0.5019541645051002,0.5124195789158125,1.717860685471933e-97,MLM_ChemProp_ST_Butina
