target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
MLM,748,Butina,ChemProp_ST_FM,0,0,0.42612031306212367,0.3216222254262076,0.5757324672679319,0.5661044704439205,9.681287957095721e-119,MLM_ChemProp_ST_FM_Butina
MLM,749,Butina,ChemProp_ST_FM,0,1,0.47974210504246995,0.35621110201881395,0.5582059726963573,0.5473324969349925,2.875389070942829e-111,MLM_ChemProp_ST_FM_Butina
MLM,747,Butina,ChemProp_ST_FM,0,2,0.4701599610078761,0.3436737317893505,0.6430864600348651,0.6089670383116069,9.410802159762696e-137,MLM_ChemProp_ST_FM_Butina
MLM,749,Butina,ChemProp_ST_FM,0,3,0.4856097657525308,0.36923069815491255,0.5493830828857099,0.5159865658981646,4.384134188498041e-99,MLM_ChemProp_ST_FM_Butina
MLM,747,Butina,ChemProp_ST_FM,0,4,0.4515772140444913,0.3357893549730681,0.5912682780575178,0.555505114289008,3.152329016668873e-114,MLM_ChemProp_ST_FM_Butina
MLM,747,Butina,ChemProp_ST_FM,1,0,0.4594745745628682,0.3405285423800189,0.6564395488254651,0.5852922535994355,1.5022299018505038e-126,MLM_ChemProp_ST_FM_Butina
MLM,751,Butina,ChemProp_ST_FM,1,1,0.4731896582727614,0.36633952575901674,0.5077242760351678,0.5381535410541958,6.4623289956421195e-108,MLM_ChemProp_ST_FM_Butina
MLM,747,Butina,ChemProp_ST_FM,1,2,0.4512889617541952,0.3417611964828312,0.6122644760683629,0.581850997227281,4.317969281047971e-125,MLM_ChemProp_ST_FM_Butina
MLM,746,Butina,ChemProp_ST_FM,1,3,0.4591444794865855,0.34831623095159114,0.6120754683848382,0.559962432475243,6.743449237742869e-116,MLM_ChemProp_ST_FM_Butina
MLM,749,Butina,ChemProp_ST_FM,1,4,0.472712781086083,0.3441140489370939,0.5121534262222964,0.5431632023244048,1.2828885525174886e-109,MLM_ChemProp_ST_FM_Butina
MLM,748,Butina,ChemProp_ST_FM,2,0,0.45491562314976747,0.34025639015025305,0.5555774581459425,0.553806449158067,1.0116130379371764e-113,MLM_ChemProp_ST_FM_Butina
MLM,748,Butina,ChemProp_ST_FM,2,1,0.4226718888572096,0.3262746949640821,0.5588898481453333,0.5507973742268635,1.6260679372663254e-112,MLM_ChemProp_ST_FM_Butina
MLM,749,Butina,ChemProp_ST_FM,2,2,0.4471322730739785,0.3391968089506375,0.5593306564520324,0.5147717058444196,1.224607599208787e-98,MLM_ChemProp_ST_FM_Butina
MLM,748,Butina,ChemProp_ST_FM,2,3,0.4905441072052904,0.3643201669891979,0.6610033744573593,0.6261419865577635,1.1321772369040277e-144,MLM_ChemProp_ST_FM_Butina
MLM,747,Butina,ChemProp_ST_FM,2,4,0.5012309823492693,0.3644793289476612,0.5458991747903923,0.5431828143933777,2.6752470566845934e-109,MLM_ChemProp_ST_FM_Butina
MLM,742,Butina,ChemProp_ST_FM,3,0,0.530539320735372,0.389760270805091,0.5106203752714384,0.5290134460196755,4.633648418670587e-103,MLM_ChemProp_ST_FM_Butina
MLM,741,Butina,ChemProp_ST_FM,3,1,0.43462983386018894,0.3282541555562161,0.5352007289568242,0.5314788887699444,6.241020023983925e-104,MLM_ChemProp_ST_FM_Butina
MLM,772,Butina,ChemProp_ST_FM,3,2,0.4799333773077163,0.3533131487586704,0.6811524652314793,0.6322269676471866,3.904645207619925e-152,MLM_ChemProp_ST_FM_Butina
MLM,741,Butina,ChemProp_ST_FM,3,3,0.4553013585081377,0.34070509500626167,0.5607009055259868,0.542693355546966,2.9364828629009923e-108,MLM_ChemProp_ST_FM_Butina
MLM,744,Butina,ChemProp_ST_FM,3,4,0.44959802020512674,0.336735820933077,0.5005987004185992,0.5172725095714398,6.0453878631905456e-99,MLM_ChemProp_ST_FM_Butina
MLM,746,Butina,ChemProp_ST_FM,4,0,0.47268325548886114,0.35037857927616717,0.6060999623734364,0.5724693237904457,4.932706264751385e-121,MLM_ChemProp_ST_FM_Butina
MLM,750,Butina,ChemProp_ST_FM,4,1,0.44834412474098895,0.3333217786151821,0.5859964840908716,0.5410110380165291,7.235303494919774e-109,MLM_ChemProp_ST_FM_Butina
MLM,746,Butina,ChemProp_ST_FM,4,2,0.4536086868104812,0.3390697710688705,0.6329554862624819,0.5858356644141616,1.206290312236542e-126,MLM_ChemProp_ST_FM_Butina
MLM,751,Butina,ChemProp_ST_FM,4,3,0.4575435258259375,0.346087806833531,0.5398492937110186,0.539457916793921,1.9604342578361123e-108,MLM_ChemProp_ST_FM_Butina
MLM,747,Butina,ChemProp_ST_FM,4,4,0.46608128622907474,0.34971535788179703,0.6043508974526429,0.5733157562989115,1.5074515865400461e-121,MLM_ChemProp_ST_FM_Butina
