target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,split_method,model_family,cv_iter,fold,comparison_label
HLM,2992,748,0.4375286182383697,0.3216270832606305,0.4306726853515246,0.4871431455450254,4.004633420875179e-88,Butina,RF_ECFP4,0,0,HLM_RF_ECFP4_Butina
MLM,2992,748,0.4546087980429931,0.3406361822101384,0.5171069038961155,0.5326862731925402,2.4672757078151e-105,Butina,RF_ECFP4,0,0,MLM_RF_ECFP4_Butina
HLM,2991,749,0.4572223685425914,0.3357701038329442,0.4818366148341098,0.5297804511602744,4.052568556497977e-104,Butina,RF_ECFP4,0,1,HLM_RF_ECFP4_Butina
MLM,2991,749,0.490352381719121,0.3617531017729164,0.5384478848204217,0.5339486560335779,5.706397350963815e-106,Butina,RF_ECFP4,0,1,MLM_RF_ECFP4_Butina
HLM,2993,747,0.4669236423316759,0.3519954493764103,0.4735755204140892,0.5111498132040772,1.6857761424729201e-96,Butina,RF_ECFP4,0,2,HLM_RF_ECFP4_Butina
MLM,2993,747,0.4906893860063953,0.3541408542289801,0.6112368715572504,0.5891257587683364,4.3342283341538605e-128,Butina,RF_ECFP4,0,2,MLM_RF_ECFP4_Butina
HLM,2991,749,0.495577442976365,0.3650576934744737,0.3610498098809379,0.4609806070547118,3.107441589697768e-79,Butina,RF_ECFP4,0,3,HLM_RF_ECFP4_Butina
MLM,2991,749,0.5240428002633944,0.3833792656944051,0.475233400108413,0.4730072388610719,1.479320724799686e-83,Butina,RF_ECFP4,0,3,MLM_RF_ECFP4_Butina
HLM,2993,747,0.4298076151705714,0.3297117214144027,0.552528963130715,0.5646780600530596,1.1414109683063587e-117,Butina,RF_ECFP4,0,4,HLM_RF_ECFP4_Butina
MLM,2993,747,0.4594946935150892,0.3433823528176047,0.5768100887577193,0.5304880637006532,2.503854665124524e-104,Butina,RF_ECFP4,0,4,MLM_RF_ECFP4_Butina
HLM,2993,747,0.4458722142877533,0.3392729953823366,0.5261801124643313,0.5491876150437798,3.3004618218941364e-111,Butina,RF_ECFP4,1,0,HLM_RF_ECFP4_Butina
MLM,2993,747,0.4889321596591953,0.3628913293988723,0.6109750963001115,0.5507898171845981,2.8382885189825033e-112,Butina,RF_ECFP4,1,0,MLM_RF_ECFP4_Butina
HLM,2989,751,0.4752093061604882,0.3504928323499485,0.4285173951127531,0.4936875029445872,8.882788874617533e-91,Butina,RF_ECFP4,1,1,HLM_RF_ECFP4_Butina
MLM,2989,751,0.440225048529495,0.3352979984329057,0.5739236479935199,0.5512890181107187,3.9048188141357713e-113,Butina,RF_ECFP4,1,1,MLM_RF_ECFP4_Butina
HLM,2993,747,0.4350745078114307,0.33140709173711,0.4730030557641898,0.5135180583106085,1.3049334374695695e-97,Butina,RF_ECFP4,1,2,HLM_RF_ECFP4_Butina
MLM,2993,747,0.4834345041894161,0.3611404046705875,0.5550599917996836,0.5362301620079314,1.617732284737708e-106,Butina,RF_ECFP4,1,2,MLM_RF_ECFP4_Butina
