target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Random,ChemProp_MT,0,0,0.4883329027026438,0.366406033992395,0.42842424170449345,0.4939086718467575,1.7808910588414984e-90,HLM_ChemProp_MT_Random
MLM,748,Random,ChemProp_MT,0,0,0.47693833370281175,0.36877831586136683,0.5745634101514785,0.5450490192382593,3.4595202424140863e-110,MLM_ChemProp_MT_Random
HLM,748,Random,ChemProp_MT,0,1,0.46423836913001326,0.35796768414998803,0.44030584278689044,0.49174957021329296,8.469720771810122e-90,HLM_ChemProp_MT_Random
MLM,748,Random,ChemProp_MT,0,1,0.48865893717954695,0.3702860662411924,0.5001225056199707,0.4871291446758216,2.0509238437266304e-88,MLM_ChemProp_MT_Random
HLM,748,Random,ChemProp_MT,0,2,0.45770595575533485,0.3435888399470552,0.43659914318838944,0.5169947851505765,4.684040157549845e-99,HLM_ChemProp_MT_Random
MLM,748,Random,ChemProp_MT,0,2,0.47340658937314417,0.37285713676005405,0.5765651115737567,0.5347133046969536,3.9033067672899336e-106,MLM_ChemProp_MT_Random
HLM,748,Random,ChemProp_MT,0,3,0.4303752216481379,0.32144315659379685,0.49659064734638536,0.5320964788625842,7.506537238437969e-105,HLM_ChemProp_MT_Random
MLM,748,Random,ChemProp_MT,0,3,0.49116609293975083,0.3680285415174528,0.5374905754207855,0.5141241067476405,2.985231299222008e-98,MLM_ChemProp_MT_Random
HLM,748,Random,ChemProp_MT,0,4,0.4753577684608834,0.3612542382903809,0.4723534911159617,0.5125643438499716,2.2007784982171576e-97,HLM_ChemProp_MT_Random
MLM,748,Random,ChemProp_MT,0,4,0.48148637533328087,0.3766448215583361,0.5832277324107387,0.5292044433641658,5.471782642263946e-104,MLM_ChemProp_MT_Random
HLM,748,Random,ChemProp_MT,1,0,0.45481473946067386,0.34687127087784037,0.48677299662635554,0.5331944364869079,3.7784307059624026e-105,HLM_ChemProp_MT_Random
MLM,748,Random,ChemProp_MT,1,0,0.4825399407756662,0.37351047703349116,0.5552291670594607,0.5180984468934733,9.613465359652627e-100,MLM_ChemProp_MT_Random
