target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Random,ChemProp_MT_FM,0,0,0.40890812184671366,0.3019174294575002,0.5992317569606397,0.6019098242846332,2.0160193790319024e-133,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,0,0,0.42582792364801214,0.30949837062459284,0.6608602837358142,0.6353278312976656,5.343328844763602e-149,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,0,1,0.4220898606979516,0.3183874202511288,0.5373223201859516,0.5620184608143189,1.0583954457950509e-116,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,0,1,0.45160754200761044,0.3198618673470037,0.5730527068304161,0.5824492393773997,1.4486730885643267e-125,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,0,2,0.3939740413746693,0.29434858660626506,0.5825739090521728,0.5993952772155904,1.797307948532372e-132,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,0,2,0.40143762142733136,0.31560123077151947,0.6955232168389726,0.6188786867447661,1.6675137680761665e-141,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,0,3,0.3946156084232191,0.2952090895610703,0.5767711353667142,0.5906351930374094,9.837370602018441e-129,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,0,3,0.4382298373788231,0.3229121041390053,0.6318136210055416,0.5870967915925599,1.5869149458502765e-127,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,0,4,0.39141376104898434,0.2974046885486495,0.642254600101576,0.6248555397085584,9.063285743768888e-144,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,0,4,0.44792449852366395,0.33262889402361845,0.6393047355987658,0.5941847271449703,1.4005193259398639e-130,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,1,0,0.3867811728621693,0.29069011685432156,0.6288315192341087,0.622735747311481,1.0380562543497808e-142,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,1,0,0.4113468492307662,0.3087168301870736,0.6767890121782902,0.6123678176725951,1.4636871365608508e-138,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,1,1,0.4098129511988217,0.30967563281676813,0.5766045465448846,0.5787890225569856,1.3176388868156003e-123,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,1,1,0.415013632085326,0.31661456436858815,0.6336992795691816,0.6011476715681777,1.21413356680994e-133,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,1,2,0.38597387476988926,0.291626084812126,0.6261274812281441,0.6040511611223589,1.623908179486503e-134,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,1,2,0.46604262648017386,0.3343584065814145,0.5962832771258153,0.5892558039604119,1.8041748119995003e-128,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,1,3,0.41016958212996857,0.3026136816573021,0.5643541681070354,0.5932203170459203,7.23247973403771e-130,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,1,3,0.4264499797714951,0.3103591479855574,0.6795191770120712,0.6100488812616162,1.6813480172051024e-137,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,1,4,0.4055676686536649,0.302701395034336,0.5732747144597438,0.5824733901370444,3.5853476317252824e-125,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,1,4,0.43446172767018365,0.30766201937701554,0.6395047511854142,0.6229739523503603,2.3511159599949483e-143,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,2,0,0.41631029861028873,0.3050426141764371,0.566021297495458,0.5926222844326892,1.9831644712072936e-129,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,2,0,0.42848793459350387,0.317302956758354,0.637193918890574,0.5868002143697183,2.1703819999282718e-127,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,2,1,0.3981308644674197,0.2989778384833217,0.600140211387257,0.5917416457326112,4.3812288772331486e-129,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,2,1,0.42250352337325925,0.31476897812309107,0.6588193678855864,0.6079818251386223,1.2562144494406637e-136,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,2,2,0.390180173171034,0.29941744416051813,0.5805280620930705,0.5901343827613474,1.5473097700692804e-128,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,2,2,0.4281665169008331,0.31109817484571456,0.6562852705130398,0.6130242960594618,7.651795087727037e-139,MLM_ChemProp_MT_FM_Random
HLM,748,Random,ChemProp_MT_FM,2,3,0.4118931938411875,0.31046264922690414,0.5784687985846206,0.5931722617071413,9.612620607035008e-130,HLM_ChemProp_MT_FM_Random
MLM,748,Random,ChemProp_MT_FM,2,3,0.44044593466656085,0.32217875134425394,0.6151792617727416,0.6065113428167721,5.369043284933072e-136,MLM_ChemProp_MT_FM_Random
