target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
MLM,748,Random,ChemProp_ST,0,0,0.46218527099365414,0.35626023219644726,0.6004762686642604,0.5604368021630424,2.197917013493978e-116,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,0,1,0.4823111274681257,0.3671264265018123,0.5130252362968308,0.4905444293729337,1.2437475929908137e-89,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,0,2,0.4545452884822936,0.3499123345473871,0.6096336605987664,0.5514318216754004,9.440340233300454e-113,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,0,3,0.48521952036615107,0.35886763762642493,0.5486220301801978,0.5325265991479392,2.8631673279678107e-105,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,0,4,0.48238645631952937,0.3705458128790899,0.5816680645072823,0.5451076070310713,3.260795875877393e-110,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,1,0,0.4764460508281331,0.3648356493236664,0.5663920568335736,0.523175316159132,1.1394114458508057e-101,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,1,1,0.4418005351104205,0.3459927371688169,0.584887775248034,0.5471005832257949,4.9521958136623056e-111,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,1,2,0.49155567748813334,0.3659359768694172,0.5508712150863349,0.5290407185850481,6.159858702907529e-104,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,1,3,0.46995423949037146,0.36098638219717516,0.6107962693904005,0.5421447245677623,5.201765350763351e-109,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,1,4,0.47253423496170666,0.3533893456121271,0.5735549747133819,0.5585625662590022,1.2369760829484504e-115,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,2,0,0.48390832407157336,0.36879515687867875,0.5372743774981861,0.49452650454235303,4.8445714244891534e-91,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,2,1,0.4630987624284425,0.35369753852275265,0.5901065860175418,0.5481871421836323,1.9115554946455635e-111,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,2,2,0.46881666471838496,0.3526402944877602,0.5879225764761205,0.5531304180793745,2.0890153942090912e-113,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,2,3,0.47790405635262595,0.3641452646789004,0.546941074867835,0.5290726332531751,5.875874864288912e-104,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,2,4,0.484799729421333,0.36913995857485193,0.5768893186321427,0.5378749960271572,2.2337965247309777e-107,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,3,0,0.4836772052677562,0.3610114473641869,0.5542200373159036,0.5396686815886271,4.470932267056629e-108,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,3,1,0.4789321914145061,0.364212761854718,0.5427448176514662,0.517889526450896,1.0938438041642236e-99,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,3,2,0.49303427121415694,0.3735554165166557,0.5661498884351948,0.5140396032732941,3.3522501168268883e-98,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,3,3,0.44941435683106107,0.34975237851181334,0.5891881532613843,0.5545131936290344,5.407259605858438e-114,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,3,4,0.47631787931454705,0.3630606072567518,0.5827013751232026,0.5522561731067761,4.713187034276874e-113,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,4,0,0.4815902398878064,0.3651567768683904,0.5662741615913139,0.5302662145633177,2.1665607459010633e-104,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,4,1,0.47081737516273525,0.36595102965403514,0.5859358581869771,0.5357171051732561,1.5760995987673555e-106,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,4,2,0.46317486426149646,0.3449291361329953,0.5772484232136195,0.5651853330722963,2.3492270080259523e-118,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,4,3,0.4876703086375511,0.36863483583484613,0.5429781402263311,0.5314222525272172,7.591295533332022e-105,MLM_ChemProp_ST_Random
MLM,748,Random,ChemProp_ST,4,4,0.4838356574019424,0.3751591980906481,0.5525980305320037,0.5125845986285495,1.124512119016492e-97,MLM_ChemProp_ST_Random
