target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,split_method,model_family,cv_iter,fold,comparison_label
HLM,2992,748,0.4396191752035054,0.3192433511453802,0.5367717026050971,0.560330795245884,6.938845348076815e-116,Random,RF_ECFP4,0,0,HLM_RF_ECFP4_Random
MLM,2992,748,0.4504605898074009,0.3288906381385085,0.620489338439229,0.6061190979849139,8.668479864178061e-136,Random,RF_ECFP4,0,0,MLM_RF_ECFP4_Random
HLM,2992,748,0.4103932598180089,0.3019609320462436,0.5626096991334235,0.5735807295591482,1.8118599768467568e-121,Random,RF_ECFP4,0,1,HLM_RF_ECFP4_Random
MLM,2992,748,0.4537847750249984,0.3245087013813011,0.5689260950973345,0.5552474829734058,2.7395687071051022e-114,Random,RF_ECFP4,0,1,MLM_RF_ECFP4_Random
HLM,2992,748,0.4096323269234152,0.2991272514603053,0.5487337843795329,0.5728707427456935,3.5657952136016453e-121,Random,RF_ECFP4,0,2,HLM_RF_ECFP4_Random
MLM,2992,748,0.432774408415753,0.3177838236006971,0.6461320876743102,0.6230329916915266,2.231606945775668e-143,Random,RF_ECFP4,0,2,MLM_RF_ECFP4_Random
HLM,2992,748,0.3903599697726717,0.2856542494413179,0.5858503367900756,0.5986215702099444,3.5340893579352983e-132,Random,RF_ECFP4,0,3,HLM_RF_ECFP4_Random
MLM,2992,748,0.4440766018219054,0.3193478173201986,0.6219235621428205,0.581671922974182,3.277367335812297e-125,Random,RF_ECFP4,0,3,MLM_RF_ECFP4_Random
HLM,2992,748,0.4223463250269671,0.3158684871897397,0.5834766843675021,0.5895823589903385,3.276911881796829e-128,Random,RF_ECFP4,0,4,HLM_RF_ECFP4_Random
MLM,2992,748,0.4353146055678314,0.3150208195784205,0.6593273367637157,0.6151899181772916,7.937936643352363e-140,Random,RF_ECFP4,0,4,MLM_RF_ECFP4_Random
HLM,2992,748,0.3966982414397012,0.2940264289176198,0.6095539911853725,0.6080513493885714,3.791748035387357e-136,Random,RF_ECFP4,1,0,HLM_RF_ECFP4_Random
MLM,2992,748,0.4305200281770394,0.3162393021718911,0.6459566133699125,0.6047644196401719,3.4727601986439005e-135,Random,RF_ECFP4,1,0,MLM_RF_ECFP4_Random
HLM,2992,748,0.4261138950177747,0.318182559024841,0.5422522437246715,0.5559085933921122,3.5642919570825296e-114,Random,RF_ECFP4,1,1,HLM_RF_ECFP4_Random
MLM,2992,748,0.4114455891299876,0.3066481569302233,0.639970680295372,0.594769137885679,7.40494823115526e-131,Random,RF_ECFP4,1,1,MLM_RF_ECFP4_Random
HLM,2992,748,0.4222488111885925,0.314654457471047,0.5525499146060959,0.5776427923973095,3.53449061463642e-123,Random,RF_ECFP4,1,2,HLM_RF_ECFP4_Random
MLM,2992,748,0.4783959712640537,0.3401219730901538,0.5745970627061543,0.5796733654712882,2.1878528635099004e-124,Random,RF_ECFP4,1,2,MLM_RF_ECFP4_Random
HLM,2992,748,0.4093485948153518,0.2930712174084486,0.5660963829124611,0.578779358973116,1.0334142131165586e-123,Random,RF_ECFP4,1,3,HLM_RF_ECFP4_Random
MLM,2992,748,0.4393320939437226,0.3198166412161791,0.6598646958325348,0.5993042945526811,9.156475744770979e-133,Random,RF_ECFP4,1,3,MLM_RF_ECFP4_Random
HLM,2992,748,0.4251304650896041,0.3063573067982053,0.5311151713518805,0.5632493097900533,3.5794056782341805e-117,Random,RF_ECFP4,1,4,HLM_RF_ECFP4_Random
MLM,2992,748,0.4519519566942793,0.3246510651385809,0.6098954304844525,0.6134985004144576,4.3671678093278845e-139,Random,RF_ECFP4,1,4,MLM_RF_ECFP4_Random
HLM,2992,748,0.4261151142435951,0.3105429368608018,0.5453387038595215,0.5746399263894263,8.264031992944381e-122,Random,RF_ECFP4,2,0,HLM_RF_ECFP4_Random
MLM,2992,748,0.4439209911560535,0.3112533064411128,0.6105885422815647,0.5918165887072155,1.5365858251286337e-129,Random,RF_ECFP4,2,0,MLM_RF_ECFP4_Random
HLM,2992,748,0.4033829288995267,0.3053798865381635,0.5895208821855464,0.5782889505568968,2.288514010873829e-123,Random,RF_ECFP4,2,1,HLM_RF_ECFP4_Random
MLM,2992,748,0.4466392494613711,0.3273629550986796,0.6187257551511813,0.5906729724412796,4.5764357489006864e-129,Random,RF_ECFP4,2,1,MLM_RF_ECFP4_Random
HLM,2992,748,0.3961244947033514,0.2987534568730265,0.5676495507545025,0.5674006751866637,5.685217258191417e-119,Random,RF_ECFP4,2,2,HLM_RF_ECFP4_Random
MLM,2992,748,0.4413354389651233,0.3190563448729241,0.6348171744247325,0.5886477076387938,3.5734991055001056e-128,Random,RF_ECFP4,2,2,MLM_RF_ECFP4_Random
HLM,2992,748,0.4123073238989091,0.3075403668458642,0.5776207316499404,0.5968201788360071,2.5810625103361463e-131,Random,RF_ECFP4,2,3,HLM_RF_ECFP4_Random
MLM,2992,748,0.4498295871702379,0.3229899282513628,0.5986074647224114,0.5918375051126288,1.3799667874922926e-129,Random,RF_ECFP4,2,3,MLM_RF_ECFP4_Random
HLM,2992,748,0.428114282270499,0.3068811043077388,0.5530151579875991,0.5788378463207589,1.0542929892122548e-123,Random,RF_ECFP4,2,4,HLM_RF_ECFP4_Random
MLM,2992,748,0.4491819139934621,0.3314127765388557,0.6367766376394346,0.6014448692332729,9.28916904029773e-134,Random,RF_ECFP4,2,4,MLM_RF_ECFP4_Random
HLM,2992,748,0.4175702653635537,0.3129204273606005,0.5453238766073836,0.5663700041637524,1.907309709728741e-118,Random,RF_ECFP4,3,0,HLM_RF_ECFP4_Random
MLM,2992,748,0.4539660660041341,0.3285050857189333,0.6073043561561775,0.5824601163472349,1.4437938535168847e-125,Random,RF_ECFP4,3,0,MLM_RF_ECFP4_Random
HLM,2992,748,0.439106460841367,0.3151167891964564,0.5206918734161955,0.5638953225359732,1.9349715461057693e-117,Random,RF_ECFP4,3,1,HLM_RF_ECFP4_Random
MLM,2992,748,0.4382897632915143,0.3145755665311484,0.6170577957268681,0.5923640117626493,8.239129605503374e-130,Random,RF_ECFP4,3,1,MLM_RF_ECFP4_Random
HLM,2992,748,0.3982475870833616,0.299468428066903,0.5664575901502232,0.5772365128793168,4.619280926207995e-123,Random,RF_ECFP4,3,2,HLM_RF_ECFP4_Random
MLM,2992,748,0.4608810748438487,0.339872539507778,0.6208917402787055,0.5817159340595988,3.3174938374933277e-125,Random,RF_ECFP4,3,2,MLM_RF_ECFP4_Random
HLM,2992,748,0.4155996969945563,0.3056551860352233,0.570555053996668,0.5844498605580192,5.225533041264776e-126,Random,RF_ECFP4,3,3,HLM_RF_ECFP4_Random
MLM,2992,748,0.4258240441853675,0.3140651448111475,0.6311842701191177,0.5995603805718812,6.278668251274643e-133,Random,RF_ECFP4,3,3,MLM_RF_ECFP4_Random
HLM,2992,748,0.39985203771512,0.2988505682569043,0.6166351278110502,0.6021331979351378,1.4008188288506492e-133,Random,RF_ECFP4,3,4,HLM_RF_ECFP4_Random
MLM,2992,748,0.4561183356179251,0.3241201016338027,0.6173442462188856,0.5971739370081336,7.447616761322815e-132,Random,RF_ECFP4,3,4,MLM_RF_ECFP4_Random
HLM,2992,748,0.4264454315737839,0.3122401612833498,0.5523899695083891,0.569555626279074,1.2638545710878466e-119,Random,RF_ECFP4,4,0,HLM_RF_ECFP4_Random
MLM,2992,748,0.4399614181975861,0.3214799341167245,0.6380162054064054,0.6020129205886563,5.651483820007169e-134,Random,RF_ECFP4,4,0,MLM_RF_ECFP4_Random
HLM,2992,748,0.3987145873303958,0.3021243409778009,0.5839113054581068,0.5870011426453563,3.286881046397816e-127,Random,RF_ECFP4,4,1,HLM_RF_ECFP4_Random
MLM,2992,748,0.4421741790999555,0.3277077031464963,0.6347843201625889,0.582527093009904,1.3504372509543808e-125,Random,RF_ECFP4,4,1,MLM_RF_ECFP4_Random
HLM,2992,748,0.3945385820703777,0.2889550014241557,0.6076520231655294,0.6080362255870166,3.8329566924123965e-136,Random,RF_ECFP4,4,2,HLM_RF_ECFP4_Random
MLM,2992,748,0.4373057701206377,0.3070021627986584,0.6231524589436057,0.6138023039876864,3.125756554179096e-139,Random,RF_ECFP4,4,2,MLM_RF_ECFP4_Random
HLM,2992,748,0.4404369390548747,0.3224014117664169,0.5105457551048597,0.5420583247595823,1.0486069912134373e-108,Random,RF_ECFP4,4,3,HLM_RF_ECFP4_Random
MLM,2992,748,0.4631141115798105,0.3356885615678884,0.5878451896608062,0.5931141266456004,4.109615693217254e-130,Random,RF_ECFP4,4,3,MLM_RF_ECFP4_Random
HLM,2992,748,0.406804840586464,0.3029516218997981,0.5729722200864306,0.5834636786170239,1.182425034423663e-125,Random,RF_ECFP4,4,4,HLM_RF_ECFP4_Random
MLM,2992,748,0.4491033615852823,0.3281134151848166,0.6145262932657162,0.5749101930697189,2.3066657612460068e-122,Random,RF_ECFP4,4,4,MLM_RF_ECFP4_Random
