target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Scaffold,ChemProp_MT,0,0,0.47763331187803537,0.3553038377671672,0.43232347762978063,0.4905157278647826,3.0225668920938298e-89,HLM_ChemProp_MT_Scaffold
MLM,748,Scaffold,ChemProp_MT,0,0,0.5461993198534919,0.4167393464377649,0.5301957645845913,0.49933492325512885,9.065474163300119e-93,MLM_ChemProp_MT_Scaffold
HLM,749,Scaffold,ChemProp_MT,0,1,0.47132790523214335,0.36119798678997295,0.4708438065545937,0.5085115766583842,4.55690792751e-96,HLM_ChemProp_MT_Scaffold
MLM,749,Scaffold,ChemProp_MT,0,1,0.4982295871790933,0.3733293980313847,0.4709833814865473,0.49012117680464706,1.3184907829469528e-89,MLM_ChemProp_MT_Scaffold
HLM,747,Scaffold,ChemProp_MT,0,2,0.45141507860728713,0.3424173652578969,0.3915932652685209,0.4691640379509873,7.380328496476604e-82,HLM_ChemProp_MT_Scaffold
MLM,747,Scaffold,ChemProp_MT,0,2,0.5071955662779075,0.39708335262768196,0.516868922717729,0.5008714528919014,3.1644226374428376e-93,MLM_ChemProp_MT_Scaffold
HLM,749,Scaffold,ChemProp_MT,0,3,0.519609346112515,0.39351974512979454,0.339564835021555,0.45307504203134086,1.456324125870594e-76,HLM_ChemProp_MT_Scaffold
MLM,749,Scaffold,ChemProp_MT,0,3,0.5195751015947235,0.3960153666778088,0.5239269943442388,0.5106790492285708,4.4544803952686325e-97,MLM_ChemProp_MT_Scaffold
HLM,747,Scaffold,ChemProp_MT,0,4,0.5136445202715484,0.39411652793526636,0.33681257271609355,0.43317997672979675,5.174248599636113e-70,HLM_ChemProp_MT_Scaffold
MLM,747,Scaffold,ChemProp_MT,0,4,0.46295583530227247,0.35653650478280174,0.4599865523337172,0.4658856399214398,6.132072220772115e-81,MLM_ChemProp_MT_Scaffold
HLM,748,Scaffold,ChemProp_MT,1,0,0.45404414012186445,0.34315753089347306,0.43366532271450664,0.5032038877559829,5.303395313030087e-94,HLM_ChemProp_MT_Scaffold
MLM,748,Scaffold,ChemProp_MT,1,0,0.4759239634832949,0.3656380824381636,0.5949268928419194,0.5382766181599218,1.692980584876019e-107,MLM_ChemProp_MT_Scaffold
HLM,747,Scaffold,ChemProp_MT,1,1,0.4893299863755571,0.37601281755095184,0.4034358554954687,0.46896291746518315,8.896671978262517e-82,HLM_ChemProp_MT_Scaffold
MLM,747,Scaffold,ChemProp_MT,1,1,0.4852900339977244,0.3782793353566778,0.5183146100340492,0.5057234908811812,5.075731075514321e-95,MLM_ChemProp_MT_Scaffold
