target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Scaffold,ChemProp_MT_FM,0,0,0.4305055936105104,0.3200014413041207,0.5388212225047926,0.5696018853326932,1.1444928608408995e-119,HLM_ChemProp_MT_FM_Scaffold
MLM,748,Scaffold,ChemProp_MT_FM,0,0,0.48432197370176455,0.3546873566870797,0.6306118453226919,0.5803224767260796,1.2835934969820276e-124,MLM_ChemProp_MT_FM_Scaffold
HLM,749,Scaffold,ChemProp_MT_FM,0,1,0.4270660341036735,0.32272730749170875,0.5655621644339288,0.5811617053877537,7.017960825787542e-125,HLM_ChemProp_MT_FM_Scaffold
MLM,749,Scaffold,ChemProp_MT_FM,0,1,0.44831790955799583,0.3378172175121181,0.5716660842062524,0.5587624191214168,6.999148586415263e-116,MLM_ChemProp_MT_FM_Scaffold
HLM,747,Scaffold,ChemProp_MT_FM,0,2,0.39822262167454275,0.2981299823938991,0.5265286074685958,0.5524057111877524,9.707546557929373e-113,HLM_ChemProp_MT_FM_Scaffold
MLM,747,Scaffold,ChemProp_MT_FM,0,2,0.43897027936884025,0.3268914700143798,0.6381035593333908,0.5829715226120772,1.335266703111115e-125,MLM_ChemProp_MT_FM_Scaffold
HLM,749,Scaffold,ChemProp_MT_FM,0,3,0.43834048186136393,0.33068292045399816,0.5299982850260325,0.5597499550091194,7.521813535357066e-116,HLM_ChemProp_MT_FM_Scaffold
MLM,749,Scaffold,ChemProp_MT_FM,0,3,0.5005193243298115,0.36194609106130776,0.5582072408873578,0.5682575692397693,9.746752608151475e-120,MLM_ChemProp_MT_FM_Scaffold
HLM,747,Scaffold,ChemProp_MT_FM,0,4,0.45060779891505376,0.3388212304790599,0.4896026935969522,0.5267754113612922,1.256070734149886e-102,HLM_ChemProp_MT_FM_Scaffold
MLM,747,Scaffold,ChemProp_MT_FM,0,4,0.42815012459931756,0.32056677072067774,0.5381322916689715,0.5312465248509802,1.1471631673528986e-104,MLM_ChemProp_MT_FM_Scaffold
HLM,748,Scaffold,ChemProp_MT_FM,1,0,0.4140274430635905,0.31652917699672833,0.5290928748692161,0.5594551382773222,9.833779834361255e-116,HLM_ChemProp_MT_FM_Scaffold
MLM,748,Scaffold,ChemProp_MT_FM,1,0,0.4376517777946736,0.32916478157953927,0.6574565561028742,0.5948032620196969,7.982966313086851e-131,MLM_ChemProp_MT_FM_Scaffold
HLM,747,Scaffold,ChemProp_MT_FM,1,1,0.42601435467844845,0.3222882201075421,0.5478297837760739,0.5669016331572039,1.306337316016765e-118,HLM_ChemProp_MT_FM_Scaffold
MLM,747,Scaffold,ChemProp_MT_FM,1,1,0.4513062154539291,0.3344227094621457,0.58341525917403,0.5667237464301224,7.918271743237912e-119,MLM_ChemProp_MT_FM_Scaffold
HLM,749,Scaffold,ChemProp_MT_FM,1,2,0.43484111212920656,0.3302499952534154,0.5229668494741941,0.5662405093032894,1.5007421208752448e-118,HLM_ChemProp_MT_FM_Scaffold
MLM,749,Scaffold,ChemProp_MT_FM,1,2,0.528675407461635,0.39995093647898894,0.45670629028292764,0.5100237482568413,7.245527612359192e-97,MLM_ChemProp_MT_FM_Scaffold
HLM,747,Scaffold,ChemProp_MT_FM,1,3,0.4592501703311762,0.34309413701690217,0.5093459204403028,0.5546321002979996,1.85589171970481e-113,HLM_ChemProp_MT_FM_Scaffold
MLM,747,Scaffold,ChemProp_MT_FM,1,3,0.45821398109434364,0.3384670372015382,0.6600378352328532,0.6106389341634616,1.3835105287605104e-137,MLM_ChemProp_MT_FM_Scaffold
HLM,749,Scaffold,ChemProp_MT_FM,1,4,0.40521181058817063,0.30313534188567026,0.562350232763852,0.5771177619294129,4.850717576055464e-123,HLM_ChemProp_MT_FM_Scaffold
MLM,749,Scaffold,ChemProp_MT_FM,1,4,0.43176604066966484,0.32562473119774665,0.5741988610137065,0.5476272563129831,2.2178277019470724e-111,MLM_ChemProp_MT_FM_Scaffold
HLM,746,Scaffold,ChemProp_MT_FM,2,0,0.41898695204560804,0.3142975321638931,0.5152599956104811,0.5355370601587338,6.285485547534306e-106,HLM_ChemProp_MT_FM_Scaffold
MLM,746,Scaffold,ChemProp_MT_FM,2,0,0.4531128410255608,0.3384004161093513,0.5592573693887677,0.5540369623812839,1.6432277982669398e-113,MLM_ChemProp_MT_FM_Scaffold
HLM,745,Scaffold,ChemProp_MT_FM,2,1,0.44089094902913994,0.3266651516724951,0.5111033728614436,0.5459899233870968,7.230803991931488e-110,HLM_ChemProp_MT_FM_Scaffold
MLM,745,Scaffold,ChemProp_MT_FM,2,1,0.4701003965601503,0.35469555723169904,0.6185066137961122,0.5545072827215142,1.62196884084608e-113,MLM_ChemProp_MT_FM_Scaffold
HLM,758,Scaffold,ChemProp_MT_FM,2,2,0.4425518450332806,0.33567458609777806,0.5122165010882188,0.5446481660705715,3.329734987858859e-111,HLM_ChemProp_MT_FM_Scaffold
MLM,758,Scaffold,ChemProp_MT_FM,2,2,0.4608326672845683,0.3486322460262326,0.5782390634558062,0.5645188336343924,1.2273400476376113e-119,MLM_ChemProp_MT_FM_Scaffold
HLM,746,Scaffold,ChemProp_MT_FM,2,3,0.43687969546740524,0.33639078616737694,0.484090449977161,0.5336182690069171,3.821353510254557e-105,HLM_ChemProp_MT_FM_Scaffold
MLM,746,Scaffold,ChemProp_MT_FM,2,3,0.46972283306668083,0.34013692587743366,0.48686579269682406,0.5400604277191526,5.82631810365787e-108,MLM_ChemProp_MT_FM_Scaffold
HLM,745,Scaffold,ChemProp_MT_FM,2,4,0.447320234125449,0.34181040796521184,0.5423529170213057,0.5811595225527302,9.073893916438293e-124,HLM_ChemProp_MT_FM_Scaffold
MLM,745,Scaffold,ChemProp_MT_FM,2,4,0.493456998325744,0.36939635364421625,0.6179877861340304,0.5786620538003531,2.1264109883118136e-123,MLM_ChemProp_MT_FM_Scaffold
HLM,747,Scaffold,ChemProp_MT_FM,3,0,0.42689836930303593,0.31437895751151185,0.5635672543472372,0.5867131251956945,1.540594456568373e-126,HLM_ChemProp_MT_FM_Scaffold
MLM,747,Scaffold,ChemProp_MT_FM,3,0,0.4727269853125168,0.350294158905146,0.621308520837011,0.5993534519280955,1.253385253504316e-132,MLM_ChemProp_MT_FM_Scaffold
HLM,747,Scaffold,ChemProp_MT_FM,3,1,0.4520717295967888,0.3429689025766179,0.43628907356357627,0.5213901992668023,1.166458004367192e-100,HLM_ChemProp_MT_FM_Scaffold
MLM,747,Scaffold,ChemProp_MT_FM,3,1,0.4833771460975532,0.3518904204829582,0.46713667491926303,0.48852093440736827,8.484897418987368e-89,MLM_ChemProp_MT_FM_Scaffold
HLM,747,Scaffold,ChemProp_MT_FM,3,2,0.4224529305608728,0.31743803500383516,0.5050058182495647,0.5302634114523718,5.780569515905145e-104,HLM_ChemProp_MT_FM_Scaffold
MLM,747,Scaffold,ChemProp_MT_FM,3,2,0.4461047303069866,0.33781669153948324,0.6341474349997034,0.569017770708326,9.321446968109828e-120,MLM_ChemProp_MT_FM_Scaffold
HLM,750,Scaffold,ChemProp_MT_FM,3,3,0.4447575689220846,0.33895124174171415,0.5778532654415885,0.588054920933035,7.392233368826101e-128,HLM_ChemProp_MT_FM_Scaffold
