target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Scaffold,ChemProp_ST,0,0,0.47476456130298933,0.3503784508487365,0.4391221313762955,0.5023129915320763,1.6949953845439164e-93,HLM_ChemProp_ST_Scaffold
HLM,749,Scaffold,ChemProp_ST,0,1,0.4645429933009462,0.35098305603438446,0.48596888845535224,0.528659993424388,1.1256858292469003e-103,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,0,2,0.44476385154665765,0.3346642434740714,0.4093899207256788,0.48537197375408775,1.7703410334864032e-87,HLM_ChemProp_ST_Scaffold
HLM,749,Scaffold,ChemProp_ST,0,3,0.5007324915424006,0.3779577766616535,0.3866790116567912,0.4839470909581761,4.369593063653075e-87,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,0,4,0.5051936939897266,0.3857183949523295,0.35845546838810893,0.4518242850957388,5.266624034878794e-76,HLM_ChemProp_ST_Scaffold
HLM,748,Scaffold,ChemProp_ST,1,0,0.45620693551427943,0.34157630855885324,0.428257111540305,0.5165373051090721,6.03317339231618e-99,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,1,1,0.4730689874046889,0.3655289927204604,0.44242609115781906,0.48376334429893514,6.72575498571692e-87,HLM_ChemProp_ST_Scaffold
HLM,749,Scaffold,ChemProp_ST,1,2,0.5016176723968123,0.3750330876281487,0.3652056944523383,0.5066836816067358,2.597291442164301e-95,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,1,3,0.4832260351687894,0.35605180804987785,0.4567779223800993,0.5173686384137639,5.609444977714282e-99,HLM_ChemProp_ST_Scaffold
HLM,749,Scaffold,ChemProp_ST,1,4,0.4376759323011873,0.3384804388444965,0.4894152460865566,0.52173786500312,6.436970864283546e-101,HLM_ChemProp_ST_Scaffold
HLM,746,Scaffold,ChemProp_ST,2,0,0.45180777083228,0.34217335400731397,0.4363425417215475,0.4905906384647023,3.33315518339182e-89,HLM_ChemProp_ST_Scaffold
HLM,745,Scaffold,ChemProp_ST,2,1,0.4626737021726936,0.34802076996092396,0.4616009248309193,0.5079322258099743,2.4022408071122727e-95,HLM_ChemProp_ST_Scaffold
HLM,758,Scaffold,ChemProp_ST,2,2,0.4787997467096385,0.3589763886977691,0.42903877282303615,0.4902332681855927,1.8420746656093474e-90,HLM_ChemProp_ST_Scaffold
HLM,746,Scaffold,ChemProp_ST,2,3,0.4769363720674049,0.3635290519453022,0.385147797308782,0.48276109485722607,2.0871194088164587e-86,HLM_ChemProp_ST_Scaffold
HLM,745,Scaffold,ChemProp_ST,2,4,0.4947861401518219,0.3785325296676084,0.440076541567872,0.5226909047429195,1.7162557114905062e-100,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,3,0,0.4887218443189205,0.3717269433381401,0.4280055186008024,0.5055530687454124,1.8678263668629714e-94,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,3,1,0.4849498353696235,0.36427568221693674,0.3513127126139419,0.4699734857020534,3.8195330068197616e-82,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,3,2,0.457289119274377,0.34961615593483736,0.42000376326218314,0.48395128592809006,6.4203065233506875e-87,HLM_ChemProp_ST_Scaffold
HLM,750,Scaffold,ChemProp_ST,3,3,0.4703916476715746,0.364820469321999,0.5277891709735922,0.551304386822494,1.291560474636601e-112,HLM_ChemProp_ST_Scaffold
HLM,749,Scaffold,ChemProp_ST,3,4,0.47312659498617227,0.36087255386957373,0.34748109916851366,0.46489453821809523,1.3327027453562029e-80,HLM_ChemProp_ST_Scaffold
HLM,749,Scaffold,ChemProp_ST,4,0,0.4745138712233412,0.35391574365508427,0.4308886208983318,0.4967059303127207,1.1493970088181143e-91,HLM_ChemProp_ST_Scaffold
HLM,748,Scaffold,ChemProp_ST,4,1,0.4523098240233267,0.3469542117109413,0.4570129966115972,0.5179691548944878,1.780637657544596e-99,HLM_ChemProp_ST_Scaffold
HLM,748,Scaffold,ChemProp_ST,4,2,0.5047703438438776,0.37877199217374596,0.39541868194445795,0.47079663994862414,2.5560659491260117e-82,HLM_ChemProp_ST_Scaffold
HLM,747,Scaffold,ChemProp_ST,4,3,0.46241569488674816,0.35197225384424236,0.32123781548993435,0.4276138827769207,2.437409071126098e-68,HLM_ChemProp_ST_Scaffold
HLM,748,Scaffold,ChemProp_ST,4,4,0.4731581036292427,0.3577181735363251,0.5049141295917356,0.5431020908505324,4.952468572857688e-109,HLM_ChemProp_ST_Scaffold
