target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
MLM,748,Scaffold,ChemProp_ST,0,0,0.5379326358576619,0.4094775598560813,0.5443090492074695,0.509296342202701,1.979833542978375e-96,MLM_ChemProp_ST_Scaffold
MLM,749,Scaffold,ChemProp_ST,0,1,0.48054474373811623,0.36317461740818074,0.5078721431992779,0.5047734007965342,6.29249971844258e-95,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,0,2,0.49307092724855545,0.37292882908929403,0.5434031934748684,0.5262732934402163,1.012474968323134e-102,MLM_ChemProp_ST_Scaffold
MLM,749,Scaffold,ChemProp_ST,0,3,0.5134049432657879,0.38958489438885613,0.5351669638918488,0.5184423649383416,5.420483203840019e-100,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,0,4,0.45240674106198264,0.3488295384694555,0.4843160854464842,0.48040788816004054,6.068597910587773e-86,MLM_ChemProp_ST_Scaffold
MLM,748,Scaffold,ChemProp_ST,1,0,0.4610267904731641,0.3534658842486022,0.6198888648805316,0.5594231356498774,5.936869214130344e-116,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,1,1,0.49059846981263533,0.38278807555690225,0.5077189625453508,0.48884558093701713,6.549743770600865e-89,MLM_ChemProp_ST_Scaffold
MLM,749,Scaffold,ChemProp_ST,1,2,0.5640839540498516,0.4192807594246503,0.3814939511166161,0.4590650369592178,7.730867097180061e-79,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,1,3,0.4662684350668636,0.35790876606444605,0.64798112918305,0.5786859784824169,9.117932349244867e-124,MLM_ChemProp_ST_Scaffold
MLM,749,Scaffold,ChemProp_ST,1,4,0.45291460426772023,0.347541577191045,0.5314644957244341,0.5046619576653466,6.99508346945086e-95,MLM_ChemProp_ST_Scaffold
MLM,746,Scaffold,ChemProp_ST,2,0,0.4926633002094959,0.3724547300426899,0.47895798729402983,0.4897940120207153,3.895768774152887e-89,MLM_ChemProp_ST_Scaffold
MLM,745,Scaffold,ChemProp_ST,2,1,0.5024369493015347,0.38437241774767755,0.5642183709155444,0.5081208864971308,1.247340484306742e-95,MLM_ChemProp_ST_Scaffold
MLM,758,Scaffold,ChemProp_ST,2,2,0.49703752464710105,0.37599028297707965,0.5093653757178844,0.5137696924142447,1.9807108827869657e-99,MLM_ChemProp_ST_Scaffold
MLM,746,Scaffold,ChemProp_ST,2,3,0.47788168382078805,0.36883054308079866,0.46888521110856085,0.4831975659822531,8.28495070295461e-87,MLM_ChemProp_ST_Scaffold
MLM,745,Scaffold,ChemProp_ST,2,4,0.5254548713177835,0.39698425910441876,0.5668388794421463,0.5272628103975467,8.763559982574363e-103,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,3,0,0.502858533378236,0.3809246787963973,0.5714945072897244,0.5500038864985338,5.335220351740837e-112,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,3,1,0.48770537730536156,0.36751234444648967,0.45755127594660816,0.448433925719123,4.0384696722937907e-75,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,3,2,0.4747368554667701,0.36252042089030667,0.5856776653866369,0.5237645799270508,9.1474585111697e-102,MLM_ChemProp_ST_Scaffold
MLM,750,Scaffold,ChemProp_ST,3,3,0.4989650607270827,0.38376815808470666,0.542808326576288,0.5119362245250461,1.0560200890649326e-97,MLM_ChemProp_ST_Scaffold
MLM,749,Scaffold,ChemProp_ST,3,4,0.49531717643697215,0.3747957684698008,0.5049542889012755,0.5135416486858874,3.539830832963193e-98,MLM_ChemProp_ST_Scaffold
MLM,749,Scaffold,ChemProp_ST,4,0,0.5403046911238665,0.41367364230270176,0.4532918931428105,0.4920081591681818,2.8873222539452876e-90,MLM_ChemProp_ST_Scaffold
MLM,748,Scaffold,ChemProp_ST,4,1,0.5034327003612847,0.3823864048734317,0.5113353945686451,0.4914859966846418,5.9588544179516045e-90,MLM_ChemProp_ST_Scaffold
MLM,748,Scaffold,ChemProp_ST,4,2,0.5174172613241209,0.3880005370982281,0.5608929681467858,0.5477206426738931,3.067850252581544e-111,MLM_ChemProp_ST_Scaffold
MLM,747,Scaffold,ChemProp_ST,4,3,0.46994805915495474,0.36488722136608387,0.4769623834622645,0.44158972243147515,6.620131213222763e-73,MLM_ChemProp_ST_Scaffold
MLM,748,Scaffold,ChemProp_ST,4,4,0.47408570089837876,0.3773928104713174,0.5576709459718134,0.5000787684652644,4.514806170589209e-93,MLM_ChemProp_ST_Scaffold
