target,n_test,split_method,model_family,cv_iter,fold,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,comparison_label
HLM,748,Scaffold,ChemProp_ST_FM,0,0,0.43362870627819683,0.3226560344288902,0.5321056875787487,0.56038078812316,6.893596438942247e-116,HLM_ChemProp_ST_FM_Scaffold
HLM,749,Scaffold,ChemProp_ST_FM,0,1,0.43360328254193126,0.3275506509468425,0.5521601868351445,0.5782230966968993,1.2187241889098814e-123,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,0,2,0.3880545469151828,0.2908021028769664,0.5503988199615716,0.5594854398428988,1.3474509033161046e-115,HLM_ChemProp_ST_FM_Scaffold
HLM,749,Scaffold,ChemProp_ST_FM,0,3,0.45812076943634733,0.3476417136994337,0.48662319343935057,0.5367765716709807,1.0793046882985932e-106,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,0,4,0.4424149222824009,0.33246883160751317,0.5079938860837916,0.5348284870920501,9.933978383858098e-106,HLM_ChemProp_ST_FM_Scaffold
HLM,748,Scaffold,ChemProp_ST_FM,1,0,0.4137408671208498,0.31476453599379567,0.5297445415711433,0.5591110500875651,1.3571212327079796e-115,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,1,1,0.42500526399365735,0.3213545917472647,0.5499693377939765,0.5638826048569728,2.2649335044597757e-117,HLM_ChemProp_ST_FM_Scaffold
HLM,749,Scaffold,ChemProp_ST_FM,1,2,0.45490863635825735,0.3446260123864501,0.4779215960207379,0.5487582985309645,1.836602303112852e-111,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,1,3,0.4682298547159258,0.3515626265289216,0.48997088972789504,0.540669092669177,6.485539523435754e-108,HLM_ChemProp_ST_FM_Scaffold
HLM,749,Scaffold,ChemProp_ST_FM,1,4,0.4035782464736416,0.29863699277266653,0.5658717879581079,0.5814674554226549,7.147075590054385e-125,HLM_ChemProp_ST_FM_Scaffold
HLM,746,Scaffold,ChemProp_ST_FM,2,0,0.41798751009872104,0.3075855635365109,0.5175698129931097,0.5502540321173665,1.0122175433114645e-111,HLM_ChemProp_ST_FM_Scaffold
HLM,745,Scaffold,ChemProp_ST_FM,2,1,0.4370028691107993,0.32706098835473385,0.5196882058041374,0.5603356373427726,1.3012431280213222e-115,HLM_ChemProp_ST_FM_Scaffold
HLM,758,Scaffold,ChemProp_ST_FM,2,2,0.43068434548952955,0.3271956696022479,0.5380266044207966,0.5506453943594087,1.2687886181790202e-113,HLM_ChemProp_ST_FM_Scaffold
HLM,746,Scaffold,ChemProp_ST_FM,2,3,0.44177925172909716,0.3387637421742399,0.47245382788921964,0.5355429841731776,6.861743337420271e-106,HLM_ChemProp_ST_FM_Scaffold
HLM,745,Scaffold,ChemProp_ST_FM,2,4,0.4649279623511248,0.35422016587483024,0.5056153872364502,0.5588626592586495,1.3306842144047166e-114,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,3,0,0.41650273104021646,0.30642639421037793,0.5845640808113199,0.5984051265862079,1.493826948703323e-131,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,3,1,0.4348530791535593,0.324080138101567,0.47841288567430673,0.5346432632608471,9.651404955551376e-106,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,3,2,0.42701612934241595,0.3160381764633742,0.4942545327919081,0.5281998219436823,3.5849137778482542e-103,HLM_ChemProp_ST_FM_Scaffold
HLM,750,Scaffold,ChemProp_ST_FM,3,3,0.43960178751830825,0.3327174049857699,0.5875838741657369,0.595268042654207,5.782308498344999e-131,HLM_ChemProp_ST_FM_Scaffold
HLM,749,Scaffold,ChemProp_ST_FM,3,4,0.42826099155009845,0.3283062605931728,0.46536743262177627,0.5106693416797067,7.329471763099047e-97,HLM_ChemProp_ST_FM_Scaffold
HLM,749,Scaffold,ChemProp_ST_FM,4,0,0.42786430935216246,0.3161634552821832,0.5372871438652281,0.5604917345337617,3.439899947032803e-116,HLM_ChemProp_ST_FM_Scaffold
HLM,748,Scaffold,ChemProp_ST_FM,4,1,0.4150643544810762,0.317182032282863,0.5427557323933172,0.577900536773689,2.3903744250787498e-123,HLM_ChemProp_ST_FM_Scaffold
HLM,748,Scaffold,ChemProp_ST_FM,4,2,0.45241142675193424,0.34083834683058706,0.5143379246542035,0.547085973882285,1.7447715228037243e-110,HLM_ChemProp_ST_FM_Scaffold
HLM,747,Scaffold,ChemProp_ST_FM,4,3,0.42934643557124164,0.318527978310651,0.4148486247960682,0.4898406192036075,4.336711465170987e-89,HLM_ChemProp_ST_FM_Scaffold
HLM,748,Scaffold,ChemProp_ST_FM,4,4,0.45609640095504345,0.3456291394478167,0.5399751871183707,0.5614239356066928,2.2329421896445095e-116,HLM_ChemProp_ST_FM_Scaffold
